,Archival_source#,Area/Kingdom,Audio_file,Audio_notes,canto_coding_id,C_cid,Classification_notes,Culture,Culture_loc,Division,Duration,Genre,Instruments,Living_metadata,Local_lat,Local_long,Lyrics,Metadata_notes,People,Performers,Publcation_collection,Publisher,Recorded_by,Region,Repository,Song,Song_notes,Source Tag,Sources,Subregion,Year
4705,T1784.A2,Chhattisgarh,T5419R01m,Sound issues,3782,14477.0,,Dhurwa Gond,"Marenga, Bastar Province, Madhya Pradesh, India",India,0:03:36,Wedding Song; Song Of Comfort,Female Voices,,18.75,81.78,,,Gond,Female chorus,"Anthropological Survey of India, Indian Museum, Kolkata; Government of India, Calcutta, Dhurwa, #14",Previously Unpublished,Dept. of Anthropology Government of India,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Marriage Conduct and Comfort Song for the Bride ,"Wedding song to comfort a bride about marriage procedures, part of song",@ANSI1953MarriageConductandComfortSongfortheBride,,C India/ Central Tribal Area,1953
4706,T1784.A3,Chhattisgarh,T5419R02m,Sound issues,3783,14477.0,,Dhurwa Gond,"Marenga, Bastar Province, Madhya Pradesh, India",India,0:02:29,Lullaby,Female Voice,,18.75,81.78,,,Gond,Female solo,"Anthropological Survey of India, Indian Museum, Kolkata; Government of India, Calcutta, Dhurwa, #15",Previously Unpublished,Dept. of Anthropology Government of India,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Cradle Song,"Lullaby, cradle song",@ANSI1953CradleSong_2,,C India/ Central Tribal Area,1953
4707,T1784.B3,Chhattisgarh,T5419R03m,Hum,3784,14708.0,,Dorla,"Injiram, Bastar District, Madhya Pradesh, India",India,0:00:55,Dance Song,Female Voices,,24.61,80.48,,,Gond,Female chorus,"Anthropological Survey of India, Indian Museum, Kolkata; Government of India, Calcutta, Doria, #1",Previously Unpublished,Dept. of Anthropology Government of India,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Sire Sodi,Dance song,@ANSI1953SireSodi,,C India/ Central Tribal Area,1953
4708,T1784.B4,Chhattisgarh,T5419R04m,Hum,3785,14708.0,,Dorla,"Injiram, Bastar District, Madhya Pradesh, India",India,0:03:10,Dance Song,Female Voices,,24.61,80.48,,,Gond,Female chorus,"Anthropological Survey of India, Indian Museum, Kolkata; Government of India, Calcutta, Doria, #2",Previously Unpublished,Dept. of Anthropology Government of India,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Lankele Seloya,Dance song,@ANSI1953LankeleSeloya,,C India/ Central Tribal Area,1953
4709,T1784.B5,Chhattisgarh,T5419R05m,Hum,3786,14708.0,,Dorla,"Injiram, Bastar District, Madhya Pradesh, India",India,0:02:20,Religious Song,Female Voices,,24.61,80.48,,,Gond,Female chorus,"Anthropological Survey of India, Indian Museum, Kolkata; Government of India, Calcutta, Doria, #3",Previously Unpublished,Dept. of Anthropology Government of India,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Gamayo Niga,Religious song,@ANSI1953GamayoNiga,,C India/ Central Tribal Area,1953
4710,T1784.B6,Chhattisgarh,T5419R06m,"Poor recording, only part given here",3787,14708.0,,Dorla,"Injiram, Bastar District, Madhya Pradesh, India",India,0:01:26,Religious Song,Female Voices,,24.61,80.48,,,Gond,Female chorus,"Anthropological Survey of India, Indian Museum, Kolkata; Government of India, Calcutta, Doria, #4",Previously Unpublished,Dept. of Anthropology Government of India,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Communal Worship by Girls,Religious song,@ANSI1953CommunalWorshipbyGirls,,C India/ Central Tribal Area,1953
4711,T1784.B7,Chhattisgarh,T5419R07m,"Poor recording, only part given here",3788,14708.0,,Dorla,"Ganganapalli, India",India,0:01:50,Lullaby,Male Voices,,14.51,78.36,,,Gond,Male chorus,"Anthropological Survey of India, Indian Museum, Kolkata; Government of India, Calcutta, Doria, #5",Previously Unpublished,Dept. of Anthropology Government of India,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Yawayo Utkan ,Cradle song,@ANSI1953YawayoUtkan,,C India/ Central Tribal Area,1953
4712,T1784.B8,Chhattisgarh,T5419R08m,Hum,3789,14708.0,,Dorla,"Ganganapalli, India",India,0:02:08,Wedding Song; Dance Song,Male Voices,,14.51,78.36,,,Gond,Male chorus,"Anthropological Survey of India, Indian Museum, Kolkata; Government of India, Calcutta, Doria, #6",Previously Unpublished,Dept. of Anthropology Government of India,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",E Nate Layyor,Marriage dance song,@ANSI1953ENateLayyor,,C India/ Central Tribal Area,1953
4713,T1785.A7,Chhattisgarh,T5416R22,,3798,14708.0,,Dorla,"Gaganapalli, India",India,0:02:43,,Male Voices; Drums,,14.51,78.36,,,Gond,"Male group, drums","Anthropological Survey of India, Indian Museum, Kolkata; Government of India, Calcutta, Doria, #13",Previously Unpublished,Dept. of Anthropology Government of India,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Raju Benond Raju,Layyor pata by clan drummers,@ANSI1953RajuBenondRaju,,C India/ Central Tribal Area,1953
4714,T1785.A11,Chhattisgarh,T5416R23,,3799,14708.0,,Dorla,"Injiram, Bastar District, Madhya Pradesh, India",India,0:01:30,,Female Voices,,24.61,80.48,,,Gond,Female chorus,"Anthropological Survey of India, Indian Museum, Kolkata; Government of India, Calcutta, Doria, #17",Previously Unpublished,Dept. of Anthropology Government of India,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",E Badrachalamma,,@ANSI1953EBadrachalamma,,C India/ Central Tribal Area,1953
4715,T1785.B2,Chhattisgarh,T5416R11,,3800,14708.0,,Dorla,"Ganganapallii, India",India,0:02:48,Story Song; Narrative Song,Male Voices,,14.51,78.36,,,Gond,Male group,"Anthropological Survey of India, Indian Museum, Kolkata; Government of India, Calcutta, Doria, #22",Previously Unpublished,Dept. of Anthropology Government of India,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Folk Tale Told Musically,Sung folk tale ,@ANSI1953FolkTaleToldMusically,,C India/ Central Tribal Area,1953
4716,T1785.B4,Chhattisgarh,T5416R12,,3801,14708.0,,Dorla,"Injiram, Bastar District, Madhya Pradesh, India",India,0:00:54,,Children's Voices,,24.61,80.48,,,Gond,Group of children,"Anthropological Survey of India, Indian Museum, Kolkata; Government of India, Calcutta",Previously Unpublished,Dept. of Anthropology Government of India,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Jeddi Kaval Pilla,,@ANSI1953JeddiKavalPilla,,C India/ Central Tribal Area,1953
4717,T1889.3,Chhattisgarh,T5419R23,Film soundtrack with voice over; not usuable,3885,21924.0,,Muria Gond,"Bastar District, State of Chhattisgarh, India",India,0:01:03,Women's Song,Female Voices,,19.1,81.95,,,Gond,Female chorus,"The Flute and the Arrow, Film Soundtrack",Arne Sucksdorff Film Production; Janus Films,,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress","Excerpt from The Flute and the Arrow, Film Soundtrack",,@Sucksdorff1957FluteAndArrow,,C India/ Central Tribal Area,1955
4718,T1889.2,Chhattisgarh,T5419R22,Film soundtrack with voice over; not usuable,3886,21924.0,,Muria Gond,"Bastar District, State of Chhattisgarh, India",India,0:01:40,Song For Deity,Female Voices,,19.1,81.95,,,Gond,Female chorus,"The Flute and the Arrow, Film Soundtrack",Arne Sucksdorff Film Production; Janus Films,,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Appeal to Gods,Appeal to Gods,@Sucksdorff1957FluteAndArrow,,C India/ Central Tribal Area,1955
4722,2C24.A8,Maharashtra,T5589R06,Old audio file # T5416R24,411,16028.0,,Gond,"Nagpur, India",India,0:01:48,,Mixed Voices,,21.14,79.08,,Aboriginal song? check recording to see if male/female,Gond,Mixed chorus,Columbia World Library of Folk and Primitive Music: India. Columbia Records KL215,All India Radio; Columbia Records,All India Radio,South Asia,"Sound and Central Archives of All India Radio, New Delhi; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Gondi Song,Gondi tribal song,@CFPM1955India,Compiled and with notes by Alain Daniélou,C India/ Central Tribal Area,1952
4723,T266.5,Maharashtra,T5416R08,,844,16028.0,,Gond,"Nagpur, India",India,0:00:25,,Mixed Voices; Drums; Rattle; Flute,,21.14,79.08,,"Cf Gond music on Roderick Knight's Folkways collection, ALK",Gond,"Mixed chorus, drums, rattle, flute","Programme: Tribal Songs of the Gonds and Todas, All India Radio, External Programme Exchange Unit",All India Radio,All India Radio,South Asia,"Sound and Central Archives of All India Radio, New Delhi; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Gond Folk Song,A strophic folk song which seems to be Hinduized version of Gond song,@AIR1948-50GondFolkSong_1,"No notes other than a song list in the tape box, which gives no place or date of recording",C India/ Central Tribal Area,1948-1950
4724,T266.6,Maharashtra,T5416R09,,846,16028.0,,Gond,"Nagpur, India",India,0:00:50,,"Female Voice; Female Voices; Manjeera, Hand Cymbals",,21.14,79.08,,"Cf Gond music on Roderick Knight's Folkways collection, ALK",Gond,"Female leader, female chorus, manjeera, hand cymbals","Programme: Tribal Songs of the Gonds and Todas, All India Radio, External Programme Exchange Unit",All India Radio,All India Radio,South Asia,"Sound and Central Archives of All India Radio, New Delhi; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Gond Folk Song,Strophic folk song,@AIR1948-50GondFolkSong_2,"No notes other than a song list in the tape box, which gives no place or date of recording",C India/ Central Tribal Area,1948-1950
4725,T266.7,Maharashtra,T5416R10,,847,16028.0,,Gond,"Nagpur, India",India,0:01:20,,"Female Voice; Female Voices; Manjeera, Hand Cymbals",,21.14,79.08,,"Cf Gond music on Roderick Knight's Folkways collection, ALK",Gond,"Female lead, female chorus, manjeera, hand cymbals","Programme: Tribal Songs of the Gonds and Todas, All India Radio, External Programme Exchange Unit",All India Radio,All India Radio,South Asia,"Sound and Central Archives of All India Radio, New Delhi; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Gond Folk Song,Strophic folk song,@AIR1948-50GondFolkSong_3,"No notes other than a song list in the tape box, which gives no place or date of recording",C India/ Central Tribal Area,1948-1950
4726,T265.3A,Maharashtra,T5416R02,,848,16028.0,,Gond,"Nagpur, India",India,0:03:08,,Male Voice; Male Voices; Flute; Drums; Clappers; Rattle,,21.14,79.08,,"Cf Gond music on Roderick Knight's Folkways collection, ALK",Gond,"Male leader, male chorus, flute, drums, clappers, rattle","Programme: Tribal Songs of the Gonds and Todas, All India Radio, External Programme Exchange Unit",All India Radio,All India Radio,South Asia,"Sound and Central Archives of All India Radio, New Delhi; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Gond Folk Song,Strophic folk song,@AIR1948-50GondFolkSong_4,"No notes other than a song list in the tape box, which gives no place or date of recording",C India/ Central Tribal Area,1948-1950
4727,T265.3B,Maharashtra,T5416R03,,849,16028.0,,Gond,"Nagpur, India",India,0:01:28,,Female Voices; Flute; Drums; Clappers; Rattle,,21.14,79.08,,"Cf Gond music on Roderick Knight's Folkways collection, ALK",Gond,"Female chorus, flute, drums, clappers, rattle","Programme: Tribal Songs of the Gonds and Todas, All India Radio, External Programme Exchange Unit",All India Radio,All India Radio,South Asia,"Sound and Central Archives of All India Radio, New Delhi; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Gond Folk Song,Strophic folk song,@AIR1948-50GondFolkSong_5,"No notes other than a song list in the tape box, which gives no place or date of recording",C India/ Central Tribal Area,1948-1950
4728,T265.4; WFS1F.61,Maharashtra,T5416R05,,850,16028.0,,Gond,"Nagpur, India",India,0:03:05,Responsorial Song,Male Voices; Mixed Voices; Flute; Drums; Clappers; Rattle,,21.14,79.08,,"Cf Gond music on Roderick Knight's Folkways collection, ALK",Gond,"Male leaders, mixed chorus, flute, drums, clappers, rattle","Programme: Tribal Songs of the Gonds and Todas, All India Radio, External Programme Exchange Unit",All India Radio,All India Radio,South Asia,"Sound and Central Archives of All India Radio, New Delhi; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Gond Folk Song,"Strophic folk song, call and response",@AIR1948-50GondFolkSong_6,"No notes other than a song list in the tape box, which gives no place or date of recording",C India/ Central Tribal Area,1948-1950
4729,T265.5,Maharashtra,T5416R06,,851,16028.0,,Gond,"Nagpur, India",India,0:04:50,Responsorial Song,Male Voices; Mixed Voices; Flute; Drums; Clappers; Rattle,,21.14,79.08,,"Cf Gond music on Roderick Knight's Folkways collection, ALK",Gond,"Male leaders, mixed chorus, flute, drums, clappers, rattle","Programme: Tribal Songs of the Gonds and Todas, All India Radio, External Programme Exchange Unit",All India Radio,All India Radio,South Asia,"Sound and Central Archives of All India Radio, New Delhi; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Gond Folk Song,"Heterophonic, strophic folk song, call and response",@AIR1948-50GondFolkSong_7,"No notes other than a song list in the tape box, which gives no place or date of recording",C India/ Central Tribal Area,1948-1950
4730,T265.6,Maharashtra,T5416R07,,852,16028.0,,Gond,"Nagpur, India",India,0:03:58,Responsorial Song,Male Voices; Mixed Voices; Flute; Drums; Clappers; Rattle,,21.14,79.08,,"Cf Gond music on Roderick Knight's Folkways collection, ALK",Gond,"Male leaders, mixed chorus, flute, drums, clappers, rattle","Programme: Tribal Songs of the Gonds and Todas, All India Radio, External Programme Exchange Unit",All India Radio,All India Radio,South Asia,"Sound and Central Archives of All India Radio, New Delhi; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Gond Folk Song,"Heterophonic, strophic folk song, call and response",@AIR1948-50GondFolkSong_8,"No notes other than a song list in the tape box, which gives no place or date of recording",C India/ Central Tribal Area,1948-1950
4731,T1785.B13,Maharashtra,T5416R21m,,3797,16028.0,,Gond,"Rakhikal, Madhya Pradesh, India",India,0:01:28,,Female Voice,,22.97,78.65,,,Gond,Female solo,"Anthropological Survey of India, Indian Museum, Kolkata; Government of India, Calcutta, Gond #1",Previously Unpublished,Dept. of Anthropology Government of India,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Phagun Song,,@ANSI1953PhagunSong,,C India/ Central Tribal Area,1953
4732,T1790.4,Maharashtra,T5416R26,,3853,16028.0,,Gond,"Tamia Village, Chhattisgarh Area, Madhya Pradesh, India",India,0:02:03,Festival Song,Children's Voices,,22.34,78.66,,,Gond,Children's chorus,"All India Radio, External Programme Exchange Unit",All India Radio,All India Radio,South Asia,"Sound and Central Archives of All India Radio, New Delhi; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress","Phag, Albelam Talaiyya",A seasonal song sung during Holi festival,@AIR1950s-60sPhagAlbelamTalaiyya,,C India/ Central Tribal Area,1950's-60's
4733,T1790.7,Maharashtra,T5416R31,,3854,16028.0,,Gond,"Mandla District, Chhattisgarh Area, Madhya Pradesh, India",India,0:02:27,Dance Song; Festival Song,Mixed Voices,,22.59,80.37,,,Gond,Mixed chorus,"All India Radio, External Programme Exchange Unit",All India Radio,All India Radio,South Asia,"Sound and Central Archives of All India Radio, New Delhi; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Karma Geet,A dance song associated with Holi festival,@AIR1950s-60sKarmaGeet,,C India/ Central Tribal Area,1950's-60's
4734,T5544.01,Maharashtra,T5544R01,,9842,16028.0,,Gond,"Bastar, India",India,0:04:09,,Male Voices; Female Voices,,19.2,81.93,,,Gond,"Male chorus, female chorus",India Tribal Music of Bastar LDX 74736; Track A1,Chant Du Monde,Genevieve Dournon,South Asia,"Sound Archives of the CNRS & the Musée de l'Homme, Centre de Recherche en Etnomusicologie, http://archives.crem-cnrs.fr/; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Ghotul Pata,Male unison chorus with leader in antiphony with female chorus,@CDM1980MusiqueTribaleDuBastar,,C India/ Central Tribal Area,1980
4735,T5544.02,Maharashtra,T5544R02,,9843,16028.0,,Gond,"Bastar, India",India,0:04:00,Love Song,Male Voice,,19.2,81.93,,,Gond,Male solo,India Tribal Music of Bastar LDX 74736; Track A2,Chant Du Monde,Genevieve Dournon,South Asia,"Sound Archives of the CNRS & the Musée de l'Homme, Centre de Recherche en Etnomusicologie, http://archives.crem-cnrs.fr/; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Love Song,"Love song, male solo with much embellishment",@CDM1980MusiqueTribaleDuBastar,,C India/ Central Tribal Area,1980
4736,T5544.03,Maharashtra,T5544R03,,9844,16028.0,,Gond,"Bastar, India",India,0:03:27,Women's Song,Female Voices; Bells; Drum,,19.2,81.93,,,Gond,"Female chorus, bells, drum",India Tribal Music of Bastar LDX 74736; Track A3,Chant Du Monde,Genevieve Dournon,South Asia,"Sound Archives of the CNRS & the Musée de l'Homme, Centre de Recherche en Etnomusicologie, http://archives.crem-cnrs.fr/; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Marminga Pata,Female chorus with bells and drum,@CDM1980MusiqueTribaleDuBastar,,C India/ Central Tribal Area,1980
4737,T5544.06,Maharashtra,T5544R06,,9845,16028.0,,Gond,"Bastar, India",India,0:02:25,Festival Song,Male Voices,,19.2,81.93,,,Gond,Small male chorus,India Tribal Music of Bastar LDX 74736; Track A6,Chant Du Monde,Genevieve Dournon,South Asia,"Sound Archives of the CNRS & the Musée de l'Homme, Centre de Recherche en Etnomusicologie, http://archives.crem-cnrs.fr/; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Hulki Festival Song,Small group of men singing in trailing unison,@CDM1980MusiqueTribaleDuBastar,,C India/ Central Tribal Area,1980
4738,T5544.07,Maharashtra,T5544R07,,9846,16028.0,,Gond,"Bastar, India",India,0:02:52,,Female Voices; Bells; Male Voices,,19.2,81.93,,,Gond,"Female choruses, bells, male voices",India Tribal Music of Bastar LDX 74736,Chant Du Monde,Genevieve Dournon,South Asia,"Sound Archives of the CNRS & the Musée de l'Homme, Centre de Recherche en Etnomusicologie, http://archives.crem-cnrs.fr/; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Kokorin Pata,"Antiphonal female choruses, strophic",@CDM1980MusiqueTribaleDuBastar,,C India/ Central Tribal Area,1980
4739,T5544.11,Maharashtra,T5544R11,,9847,16028.0,,Gond,"Bastar, India",India,0:01:29,Wedding Song,Girls' Voices,,19.2,81.93,,,Gond,Small group of girls,India Tribal Music of Bastar LDX 74736,Chant Du Monde,Genevieve Dournon,South Asia,"Sound Archives of the CNRS & the Musée de l'Homme, Centre de Recherche en Etnomusicologie, http://archives.crem-cnrs.fr/; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Wedding Song,Maria wedding song,@CDM1980MusiqueTribaleDuBastar,,C India/ Central Tribal Area,1980
4740,T5544.12,Maharashtra,T5544R12,,9848,16028.0,,Gond,"Bastar, India",India,0:02:17,Dance Song; Wedding Song,Children's Voices; Whistle,,19.2,81.93,,,Gond,"Mixed group of young girls or children, whistle",India Tribal Music of Bastar LDX 74736; Track B5,Chant Du Monde,Genevieve Dournon,South Asia,"Sound Archives of the CNRS & the Musée de l'Homme, Centre de Recherche en Etnomusicologie, http://archives.crem-cnrs.fr/; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Wedding Dance Song,Maria dance song,@CDM1980MusiqueTribaleDuBastar,,C India/ Central Tribal Area,1980
4741,T5544.13,Maharashtra,T5544R13,,9849,16028.0,,Gond,"Bastar, India",India,0:02:36,,Female Voicess,,19.2,81.93,,,Gond,Female groups,India Tribal Music of Bastar LDX 74736; Track B6,Chant Du Monde,Genevieve Dournon,South Asia,"Sound Archives of the CNRS & the Musée de l'Homme, Centre de Recherche en Etnomusicologie, http://archives.crem-cnrs.fr/; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Nano Pata,"Litany, small antiphonal female groups singing very softly",@CDM1980MusiqueTribaleDuBastar,,C India/ Central Tribal Area,1980
4742,T5544.14,Maharashtra,T5544R14,,9850,16028.0,,Gond,"Bastar, India",India,0:03:01,,Male Voices; Female Voices,,19.2,81.93,,,Gond,"Male chorus, female chorus",India Tribal Music of Bastar LDX 74736; Track B7,Chant Du Monde,Genevieve Dournon,South Asia,"Sound Archives of the CNRS & the Musée de l'Homme, Centre de Recherche en Etnomusicologie, http://archives.crem-cnrs.fr/; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Koya Pata,Young men and young girls sing antiphonally,@CDM1980MusiqueTribaleDuBastar,,C India/ Central Tribal Area,1980
4744,2C22.A4,Malwa,T5484R10,,756,13333.0,,C Indian Folk,"Madhya Pradesh, India",India,0:03:22,Raga,Female Voice; Tabla Tarang; 10-16 Tuned Dayan Drums,,22.97,78.65,,From the collection of Henry Cowell.,C Indian Hindu,"Female solo, tabla tarang, 10-16 tuned dayan drums","Music from South Asia. Ethnic Folkways Library FE4447, 1957",Smithsonian Folkways,Henry Cowell,South Asia,"Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Tabla Tarangi,"The tabla tarang is a melodic percussion instrument consisting 10-16 tuned dayan drums, tarang means waves, by hitting with the hand at the center of the different dayan drums – known as syahi – notes of different pitches are produced like a bell ringing, and players can perform melodies based on several ragas Ragas are traditional classical Indian musical modes used for improvisation. Raga means color in Sanskrit and each raga has a unique sound, like the hues of a color, that expresses emotions and moods. The sound of each raga is associated with certain emotions, times of day, Hindu deities, and seasons. Ragas are thought to possess magical powers like bringing rain or causing fires.",@FW1957MusicFromSouthAsia,Duplicated from the Collection of Henry Cowell; http://www.folkways.si.edu/TrackDetails.aspx?itemid=12643,C India/ Central Tribal Area,1957
