,Archival_source#,Area/Kingdom,Audio_file,Audio_notes,canto_coding_id,C_cid,Classification_notes,Culture,Culture_loc,Division,Duration,Genre,Instruments,Living_metadata,Local_lat,Local_long,Lyrics,Metadata_notes,People,Performers,Publcation_collection,Publisher,Recorded_by,Region,Repository,Song,Song_notes,Source Tag,Sources,Subregion,Year
4760,2C18.B4,Tamil Nadu,T5483R37,,760,24540.0,,Madras,"Chennai, India",India,0:01:48,Work Song; Boat Song; Rowing Song; Hauling Song; Agricultural Song,Flute; Violin; Mirdam; Drum,,13.08,80.27,,,Tamil,"Instrumental: flute, violin, mirdam, drum","Folk Music of India. Ethnic Folkways Library FE4409, 1950",Smithsonian Folkways,All India Radio,South Asia,"Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Folk Song,"A work song popular among laborers working in the tea gardens, rowing boats, or other heavy work.",@FW1950FolkMusicOfIndia,Compiled by Harold Courlander; http://www.folkways.si.edu/TrackDetails.aspx?itemid=11645,Dravidian Deccan,1948-1950
4761,2C24.B13; WFS2B.14,Tamil Nadu,T5589R07,Old audio file # T5484R04,974,24540.0,,Madras,"Chennai, India",India,0:03:11,Devotional Song; Saint's Song; Begging Song; Raga,Male Voices; String Tambura; Sruti Peti (Hand-Pumped Reed Drone),,13.08,80.27,,,Tamil,"T.M. Krishnaswamy Iyer, P.R. Balasubramanyam, string tambura, sruti peti (hand-pumped reed drone)",Columbia World Library of Folk and Primitive Music: India. Columbia Records KL215,Columbia Records,Alain Daniélou,South Asia,"Fondación Inde-Europe de Nouveaux Dialogues; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Alwar Song,"Song of the Alwar Saints, ancient Tamil devotional song sung in the raga Kambodi, more commonly known as Kambhoji today, composed by one of the 12 Alwar saints, the Alwars were Vaishnava wandering mendicants of Tamilnada. Ragas are traditional classical Indian musical modes used for improvisation. Raga means color in Sanskrit and each raga has a unique sound, like the hues of a color, that expresses emotions and moods. The sound of each raga is associated with certain emotions, times of day, Hindu deities, and seasons. Ragas are thought to possess magical powers like bringing rain or causing fires.",@CFPM1955India,Compiled and edited by Alain Daniélou; New liner notes by Amy Catlin and Nazir Jairazbhoy,Dravidian Deccan,1952
4762,2C17.A3; WFS8.9,Tamil Nadu,T5528R09,,8004,24540.0,,Madras,"Chennai, India",India,0:01:14,,Female Voice,,13.08,80.27,,,Tamil,Kumari Shyamala,"Music of India: Traditional and Classical. Ethnic Folkways Library FE4422, 1951",Smithsonian Folkways,All India Radio,South Asia,"Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Sangeeta Gnamamu,"Folk song from the province of Mandras, Southern India",@FW1951MusicOfIndiaTraditionalClassical,http://www.folkways.si.edu/TrackDetails.aspx?itemid=11702,Dravidian Deccan,1948-1950
4763,2C18.B5,Andhra Pradesh,T5483R38,,758,17183.0,,Andhra Pradesh,"Andhra Pradesh, India",India,0:00:56,Work Song; Boat Song; Rowing Song; Hauling Song; Agricultural Song,Flute; Mirdam; Tappu,,15.91,79.74,,,Telugu,"Flute, mirdam, tappu","Folk Music of India. Ethnic Folkways Library FE4409, 1950",Smithsonian Folkways,All India Radio,South Asia,"Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",South Indian Folk Song,"Strophic song popular among laborers working in the tea gardens, rowing boats or doing any heavy duty work. Ragas are traditional classical Indian musical modes used for improvisation. Raga means color in Sanskrit and each raga has a unique sound, like the hues of a color, that expresses emotions and moods. The sound of each raga is associated with certain emotions, times of day, Hindu deities, and seasons. Ragas are thought to possess magical powers like bringing rain or causing fires.",@FW1950FolkMusicOfIndia,Compiled by Harold Courlander; http://www.folkways.si.edu/TrackDetails.aspx?itemid=11646,E C India/ E Central Tribal Area,1948-1950
4764,2C17.A4,Andhra Pradesh,T5417R02,,3752,17183.0,,Andhra Pradesh,"Andhra Pradesh, India",India,0:03:22,Evening Song; KarnāṭAka SaṃGīta,Male Voice; Vina; Khol; Violin,,15.91,79.74,,,Telugu,"D. K. Pattamal, singer, vina, khol, violin","Music of India: Traditional and Classical. Ethnic Folkways Library FE4422, 1951",Smithsonian Folkways,All India Radio,South Asia,"Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Theruva Theppo,"Evening piece accompanied by vina, khol, and violin. Ragas are traditional classical Indian musical modes used for improvisation. Raga means ""color"" in Sanskrit, and each raga has a unique sound, like the hues of a color, that expresses emotions and moods. The sound of each raga is associated with certain emotions, times of day, Hindu deities, and seasons. Ragas are thought to possess magical powers like bringing rain or causing fires.",@FW1951MusicOfIndiaTraditionalClassical,Can also be found digitally on CN1.14.; http://www.folkways.si.edu/TrackDetails.aspx?itemid=11703,E C India/ E Central Tribal Area,1948-1950
4765,2C15.A1,Andhra Pradesh,T5417R01,,3753,17183.0,,Andhra Pradesh,"Hyderabad, Deccan, India",India,0:03:03,Bhajan; Religious Song; Devotional Song; Raga; KarnāṭAka SaṃGīta,Male Voice,,17.39,78.46,,,Telugu,Swami D. R. Parvatikar,"Religious Music of India. Ethnic Folkways Library P431, 1952",Smithsonian Folkways,Alain Daniélou,South Asia,"Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Bhajana; I Am Thy Servant,"Raga Kalingada, religious song, song of devotional love, important in religious and musical life of India.  Ragas are traditional classical Indian musical modes used for improvisation. Raga means color in Sanskrit and each raga has a unique sound, like the hues of a color, that expresses emotions and moods. The sound of each raga is associated with certain emotions, times of day, Hindu deities, and seasons. Ragas are thought to possess magical powers like bringing rain or causing fires.",@FW1952ReligiousMusicOfIndia,Notes include partial transcription; http://www.folkways.si.edu/TrackDetails.aspx?itemid=7082,E C India/ E Central Tribal Area,1952
4766,T1787.A2,Andhra Pradesh,T5417R37,,3814,19031.0,,Koya,"Chekkapalli, Andhra Pradesh, India",India,0:03:13,Wedding Song,Male Voices,,16.87,80.92,,,Gond,Male unison chorus,"Anthropological Survey of India, Indian Museum, Kolkata; Government of India, Calcutta, Koya",Previously Unpublished,Dept. of Anthropology Government of India,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Idu Vina Karman,"Wedding song, sung by men at time of marriage ",@ANSI1953IduVinaKarman,,E C India/ E Central Tribal Area,1953
4767,T1787.A1C,Andhra Pradesh,T5417R36,,3815,19031.0,,Koya,"Chekkapalli, Andhra Pradesh, India",India,0:00:22,Wedding Song,Female Voices,,16.87,80.92,,,Gond,Female chorus,"Anthropological Survey of India, Indian Museum, Kolkata; Government of India, Calcutta, Koya",Previously Unpublished,Dept. of Anthropology Government of India,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Oh Nevatodo 1,"Wedding song, sung by unmarried girls at time of marriage ",@ANSI1953OhNevatodo1,,E C India/ E Central Tribal Area,1953
4768,T1787.A1B,Andhra Pradesh,T5417R35,,3816,19031.0,,Koya,"Chekkapalli, Andhra Pradesh, India",India,0:00:48,Wedding Song,Female Voices,,16.87,80.92,,,Gond,Female chorus,"Anthropological Survey of India, Indian Museum, Kolkata; Government of India, Calcutta, Koya",Previously Unpublished,Dept. of Anthropology Government of India,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Oh Nevatodo 2,"Wedding song, sung by unmarried girls at time of marriage ",@ANSI1953OhNevatodo2,,E C India/ E Central Tribal Area,1953
4769,T1787.A1A,Andhra Pradesh,T5417R34,,3817,19031.0,,Koya,"Chekkapalli, Andhra Pradesh, India",India,0:00:44,Wedding Song,Female Voices,,16.87,80.92,,,Gond,Female chorus,"Anthropological Survey of India, Indian Museum, Kolkata; Government of India, Calcutta, Koya",Previously Unpublished,Dept. of Anthropology Government of India,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Oh Nevatodo 3,"Wedding song, sung by unmarried girls at time of marriage ",@ANSI1953OhNevatodo3,,E C India/ E Central Tribal Area,1953
4770,T1785.B5,Andhra Pradesh/ Odisha,T5416R13m,,3790,15643.0,,Gadaba,"Paduka Valasa, India",India,0:01:06,Women's Song,Female Voices,,21.77,84.36,,,Gadaba,Female chorus,"Anthropological Survey of India, Indian Museum, Kolkata; Government of India, Calcutta, Gadba Ollar and Gadba Salur",Previously Unpublished,Dept. of Anthropology Government of India,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Ne Ne Ne,,@ANSI1953NeNeNe,,E C India/ E Central Tribal Area,1953
4771,T1785.B6,Andhra Pradesh/ Odisha,T5416R14m,,3791,15643.0,,Gadaba,"Paduka Valasa, India",India,0:01:56,Women's Song,Female Voices,,21.77,84.36,,,Gadaba,Female chorus,"Anthropological Survey of India, Indian Museum, Kolkata; Government of India, Calcutta, Gadba Oilar and Gadba Salur #2",Previously Unpublished,Dept. of Anthropology Government of India,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Na Na Ne Ne,,@ANSI1953NaNaNeNe,,E C India/ E Central Tribal Area,1953
4772,T1785.B7,Andhra Pradesh/ Odisha,T5416R15m,,3792,15643.0,,Gadaba,"Paduka Valasa, India",India,0:01:21,Women's Song,Female Voices,,21.77,84.36,,AL notes similarity to a New Guinea song,Gadaba,Female chorus,"Anthropological Survey of India, Indian Museum, Kolkata; Government of India, Calcutta, Gadba Oilar and Gadba Salur #3",Previously Unpublished,Dept. of Anthropology Government of India,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Bayi Bayi,,@ANSI1953BayiBayi,,E C India/ E Central Tribal Area,1953
4773,T1785.B9,Andhra Pradesh/ Odisha,T5416R17m,,3793,15643.0,,Gadaba,"Pottangi, Koraput District, Orissa, India",India,0:02:47,Wedding Song,Girls' Voices,,18.56,82.97,,,Gadaba,Group of girls,"Anthropological Survey of India, Indian Museum, Kolkata; Government of India, Calcutta, Gadba Oilar and Gadba Salur #1",Previously Unpublished,Dept. of Anthropology Government of India,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Elu Elu Rajali,Marriage,@ANSI1953EluEluRajali,,E C India/ E Central Tribal Area,1953
4774,T1785.B10,Andhra Pradesh/ Odisha,T5416R18m,,3794,15643.0,,Gadaba,"Pottangi, Koraput District, Orissa, India",India,0:01:05,Dance Song; Night Song; Girls' Song,Voices of Girls,,18.56,82.97,,,Gadaba,Group of girls,"Anthropological Survey of India, Indian Museum, Kolkata; Government of India, Calcutta, Gadba Oilar and Gadba Salur #2A",Previously Unpublished,Dept. of Anthropology Government of India,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress","Ahye Rangeela, Part 2",A dance song sung by girls during summer nights,@ANSI1953AhyeRangeelaPart2_1,,E C India/ E Central Tribal Area,1953
4775,T1785.B11,Andhra Pradesh/ Odisha,T5416R19,,3795,15643.0,,Gadaba,"Pottangi, Koraput District, Orissa, India",India,0:02:21,Dance Song; Night Song; Girls' Song,Voices of Girls,,18.56,82.97,,,Gadaba,Group of girls,"Anthropological Survey of India, Indian Museum, Kolkata; Government of India, Calcutta, Gadba Oilar and Gadba Salur #2B",Previously Unpublished,Dept. of Anthropology Government of India,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress","Ahye Rangeela, Part 2",A dance song sung by girls during summer nights,@ANSI1953AhyeRangeelaPart2_2,,E C India/ E Central Tribal Area,1953
4776,T1785.B12,Andhra Pradesh/ Odisha,T5416R20m,,3796,15643.0,,Gadaba,"Pottangi, Koraput District, Orissa, India",India,0:03:57,,2 Male Voices; Tapping; Ektar,,18.56,82.97,,,Gadaba,"Male duet, tapping, ektar","Anthropological Survey of India, Indian Museum, Kolkata; Government of India, Calcutta, Gadba Oilar and Gadba Salur",Previously Unpublished,Dept. of Anthropology Government of India,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Koti Rasi,,@ANSI1953KotiRasi,,E C India/ E Central Tribal Area,1953
4777,T1785.B8,Andhra Pradesh/ Odisha,T5416R16m,,3842,15643.0,,Gadaba,"Paduka Valasa, India",India,0:04:21,Harvest Song; Agricultural Song,Male Voices,,21.77,84.36,,,Gadaba,Male chorus,"Anthropological Survey of India, Indian Museum, Kolkata; Government of India, Calcutta, Gadba Oilar and Gadba Salur #4",Previously Unpublished,Dept. of Anthropology Government of India,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Bapre Bapre,Harvest song,@ANSI1953BapreBapre,,E C India/ E Central Tribal Area,1953
4778,2C52.A3,Andhra Pradesh/ Odisha,T5416R51,,4012,15643.0,,Gadaba,"Odisha Region, India",India,0:03:06,Wedding Song; Dance Song,Female Voice; Children's Voices; Bell; Rattle,,20.29,85.82,,,Gadaba,"Female leader, children's chorus, bell, rattle",Gadaba Music and Oriya Folk Songs. Swedish Broadcasting Corporation LP6647 MA,Swedish Broadcasting Corporation; Radiotjanst,Swedish Broadcasting Corporation,South Asia,"The Swedish National Museum of World Culture, Gothenburg, Sweden; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Wedding Dance,Wedding dance,@SBC1952GadabaOriya,Includes Gadba Ollar and Gadba Salur.,E C India/ E Central Tribal Area,
4779,2C52.A2,Andhra Pradesh/ Odisha,T5416R50,,4013,15643.0,,Gadaba,"Odisha Region, India",India,0:03:35,Wedding Song,Female Voices,,20.29,85.82,,,Gadaba,Alternating female singers,Gadaba Music and Oriya Folk Songs. Swedish Broadcasting Corporation LP6647 MA,Swedish Broadcasting Corporation; Radiotjanst,Swedish Broadcasting Corporation,South Asia,"The Swedish National Museum of World Culture, Gothenburg, Sweden; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Wedding Songs,Wedding songs,@SBC1952GadabaOriya,Includes Gadba Ollar and Gadba Salur.,E C India/ E Central Tribal Area,
4780,2C53.A2,Andhra Pradesh/ Odisha,T5416R40,LP Missing,4001,16750.0,,Hill Saora,"R. Udayagiri Range, Badaganda, Odisha, India",India,0:00:54,Feast Song,Male Voice,,19.15,84.22,,,Munda,Male solo,Joria Music and Hill Saora Music. Swedish Broadcasting Corporation LP6646 MA,Swedish Broadcasting Corporation,Swedish Broadcasting Corporation,South Asia,"The Swedish National Museum of World Culture, Gothenburg, Sweden; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",The Hair Shaving Feast,"Feast song, male soloist with melody which skips in and out of one pitch",@SBCNDJoriaHillSaora,,E C India/ E Central Tribal Area,
4781,2C53.A3,Andhra Pradesh/ Odisha,T5416R41,LP Missing,4002,16750.0,,Hill Saora,"R. Udayagiri Range, Badaganda, Odisha, India",India,0:00:50,Courtship Song,Male Voice,,19.15,84.22,,,Munda,Male solo,Joria Music and Hill Saora Music. Swedish Broadcasting Corporation LP6646 MA,Swedish Broadcasting Corporation,Swedish Broadcasting Corporation,South Asia,"The Swedish National Museum of World Culture, Gothenburg, Sweden; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Courting Song,Courting song from male soloist,@SBCNDJoriaHillSaora,,E C India/ E Central Tribal Area,
4782,2C53.A4,Andhra Pradesh/ Odisha,T5416R42,LP Missing,4003,16750.0,,Hill Saora,"R. Udayagiri Range, Badaganda, Odisha, India",India,0:01:15,Wedding Song,Female Voices,,19.15,84.22,,,Munda,Female chorus,Joria Music and Hill Saora Music. Swedish Broadcasting Corporation LP6646 MA,Swedish Broadcasting Corporation,Swedish Broadcasting Corporation,South Asia,"The Swedish National Museum of World Culture, Gothenburg, Sweden; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Marriage Song,"Marriage song, female chorus in litany",@SBCNDJoriaHillSaora,,E C India/ E Central Tribal Area,
4783,2C53.A5,Andhra Pradesh/ Odisha,T5416R43,LP Missing,4004,16750.0,,Hill Saora,"R. Udayagiri Range, Badaganda, Odisha, India",India,0:02:10,Wedding Song,"Male Voice; Bowed Fiddle, Possibly Ravanahatha",,19.15,84.22,,,Munda,"Male solo, bowed fiddle, possibly ravanahatha",Joria Music and Hill Saora Music. Swedish Broadcasting Corporation LP6646 MA,Swedish Broadcasting Corporation,Swedish Broadcasting Corporation,South Asia,"The Swedish National Museum of World Culture, Gothenburg, Sweden; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Marriage Song,"Marriage song, male soloist over moderately paced fiddle",@SBCNDJoriaHillSaora,,E C India/ E Central Tribal Area,
4784,2C53.A6,Andhra Pradesh/ Odisha,T5416R44,LP Missing,4005,16750.0,,Hill Saora,"R. Udayagiri Range, Badaganda, Odisha, India",India,0:02:06,Sacrificial Song,Male Voice; Male Voices; Drum,,19.15,84.22,,,Munda,"Male solo, male chorus, drum",Joria Music and Hill Saora Music. Swedish Broadcasting Corporation LP6646 MA,Swedish Broadcasting Corporation,Swedish Broadcasting Corporation,South Asia,"The Swedish National Museum of World Culture, Gothenburg, Sweden; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Incantation at Sacrifice,"Litany for sacrifice, male chorus drops out early",@SBCNDJoriaHillSaora,,E C India/ E Central Tribal Area,
