,canto_coding_id,region,division,subregion,area_kingdom,culture,language,people,song,lat,lng,cv_1,cv_2,cv_3,cv_4,cv_5,cv_6,cv_7,cv_8,cv_9,cv_10,cv_11,cv_12,cv_13,cv_14,cv_15,cv_16,cv_17,cv_18,cv_19,cv_20,cv_21,cv_22,cv_23,cv_24,cv_25,cv_26,cv_27,cv_28,cv_29,cv_30,cv_31,cv_32,cv_33,cv_34,cv_35,cv_36,cv_37,Number of Samples
22,3885,North,India,C India/ Central Tribal Area,Chhattisgarh,Muria Gond,Dravidian,Tribal,"Excerpt from The Flute and the Arrow, Film Soundtrack",19.1,81.95,0.46,0.08,0.08,0.54,0.77,0.54,0.08,0.08,0.08,0.77,0.85,0.23,0.08,0.08,0.69,0.92,0.31,1.0,0.69,0.54,0.77,0.08,0.77,0.38,0.08,0.38,1.0,0.38,0.54,0.77,1.0,0.54,0.62,0.77,0.77,1.0,1.0,2
23,3886,North,India,C India/ Central Tribal Area,Chhattisgarh,Muria Gond,Dravidian,Tribal,Appeal to Gods,19.1,81.95,0.5,0.69,0.5,1.0,0.77,0.77,0.88,0.77,1.0,0.77,0.85,0.23,0.46,0.69,0.69,0.69,0.77,0.85,0.08,0.54,0.77,0.46,0.54,0.85,0.77,0.69,0.38,0.38,1.0,0.77,1.0,0.77,0.62,0.77,0.54,0.31,0.77,2
24,411,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,Gondi Song,21.14,79.08,0.62,0.08,0.08,0.54,0.54,0.77,0.08,0.08,0.08,0.08,0.46,0.23,0.08,0.08,0.69,0.92,0.77,0.62,0.31,0.54,0.77,0.08,1.0,0.69,0.54,1.0,1.0,0.69,1.0,0.08,1.0,0.42,0.81,0.77,0.31,0.54,0.54,21
25,844,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,Gond Folk Song,21.14,79.08,0.69,0.23,0.46,0.54,0.54,0.77,0.54,0.54,1.0,0.54,0.85,0.23,0.46,0.54,0.08,0.92,0.54,1.0,0.08,0.31,0.77,0.08,1.0,0.69,0.77,1.0,1.0,1.0,1.0,0.54,1.0,0.54,0.35,0.42,0.42,0.54,0.31,21
26,846,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,Gond Folk Song,21.14,79.08,0.46,0.23,0.46,0.54,0.77,0.77,0.54,0.54,1.0,0.54,0.46,0.23,0.46,0.54,0.69,0.92,0.54,1.0,0.08,0.31,0.77,0.08,0.77,0.69,0.77,1.0,1.0,1.0,1.0,0.54,1.0,0.54,0.35,0.54,0.42,0.54,0.31,21
27,847,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,Gond Folk Song,21.14,79.08,0.69,0.23,0.46,0.54,0.77,0.77,0.54,0.54,0.77,0.54,0.46,0.23,0.46,0.54,0.69,0.46,0.54,0.69,0.31,0.31,0.54,0.08,1.0,0.69,0.54,1.0,1.0,1.0,1.0,0.54,1.0,0.54,0.35,0.42,0.42,0.54,0.31,21
28,848,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,Gond Folk Song,21.14,79.08,0.69,0.23,0.38,0.54,0.77,0.77,0.54,0.54,1.0,0.54,0.85,0.23,0.35,0.54,0.69,0.85,0.31,0.85,0.08,0.31,0.54,0.08,0.77,0.69,0.54,1.0,1.0,1.0,1.0,0.54,1.0,0.54,0.46,0.54,0.54,0.54,0.31,21
29,849,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,Gond Folk Song,21.14,79.08,0.69,0.23,0.38,0.54,0.77,0.77,1.0,0.54,1.0,0.54,0.46,0.23,0.35,0.85,0.69,0.92,0.54,0.85,0.08,0.54,0.54,0.08,0.77,0.77,0.77,1.0,1.0,1.0,0.54,0.54,1.0,0.54,0.35,0.42,0.54,0.54,0.31,21
30,850,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,Gond Folk Song,21.14,79.08,0.69,0.23,0.46,0.54,0.77,0.77,1.0,0.54,1.0,0.54,0.85,0.23,0.35,0.85,0.69,0.23,0.54,0.62,0.08,0.54,0.54,0.08,0.54,0.69,0.77,1.0,1.0,1.0,1.0,0.54,1.0,0.54,0.35,0.42,0.42,0.54,0.31,21
31,851,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,Gond Folk Song,21.14,79.08,0.69,0.23,0.46,0.54,0.77,0.77,1.0,0.54,1.0,0.54,0.85,0.23,0.35,0.85,0.69,0.38,0.54,0.62,0.08,0.54,0.54,0.08,0.54,0.69,0.77,1.0,1.0,1.0,1.0,0.54,1.0,0.54,0.35,0.42,0.42,0.54,0.31,21
32,852,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,Gond Folk Song,21.14,79.08,0.69,0.23,0.69,0.54,0.54,0.77,1.0,0.77,1.0,0.54,0.85,0.23,0.35,0.85,0.69,0.69,0.31,0.08,0.31,0.31,0.54,0.08,0.77,0.69,0.54,1.0,1.0,1.0,1.0,0.54,1.0,0.54,0.35,0.42,0.42,0.54,0.31,21
33,3797,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,Phagun Song,22.97,78.65,0.46,0.08,0.08,0.54,0.77,0.77,0.08,0.08,0.08,0.54,0.85,0.23,0.08,0.08,0.69,0.92,0.54,1.0,0.08,0.31,0.54,0.08,0.0,0.69,0.77,0.69,1.0,0.69,0.54,0.54,1.0,0.54,0.62,0.77,0.77,0.54,0.54,21
34,3853,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,"Phag, Albelam Talaiyya",22.34,78.66,0.46,0.15,0.38,0.54,0.54,0.54,1.0,0.77,0.77,0.54,0.46,0.23,0.46,0.69,0.69,0.92,0.77,0.85,0.31,0.54,0.54,0.08,0.77,0.85,0.77,1.0,1.0,0.69,0.54,0.54,1.0,0.42,0.46,0.54,0.42,0.54,0.77,21
35,3854,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,Karma Geet,22.59,80.37,0.46,0.15,0.38,0.88,0.54,0.77,1.0,0.54,0.77,0.77,0.46,0.38,0.46,0.69,0.69,0.85,0.54,0.85,0.19,0.54,0.54,0.62,0.54,0.77,0.77,1.0,1.0,0.69,1.0,0.77,1.0,0.54,0.62,0.54,0.31,0.54,0.77,21
36,9842,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,Ghotul Pata,19.2,81.93,0.69,0.08,0.08,1.0,0.54,0.31,0.08,0.08,0.08,0.54,0.85,0.23,0.08,0.08,0.69,0.62,0.42,0.85,0.0,0.77,0.77,0.23,1.0,0.69,0.77,0.69,0.08,0.38,0.54,0.54,1.0,0.54,0.35,0.54,0.31,0.54,0.54,21
37,9843,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,Love Song,19.2,81.93,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.54,0.85,0.08,0.08,0.08,0.69,0.77,0.42,0.73,0.69,0.77,0.77,0.08,0.77,0.69,0.77,0.69,0.08,0.38,0.54,0.54,0.54,0.31,1.0,0.31,0.31,0.54,0.54,21
38,9844,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,Marminga Pata,19.2,81.93,0.46,0.69,1.0,0.54,0.77,0.77,1.0,0.54,0.77,0.77,0.46,0.23,0.35,0.85,0.69,0.92,0.42,0.85,0.31,0.54,0.77,0.08,1.0,0.69,0.77,1.0,0.69,0.69,0.54,0.77,1.0,0.54,0.46,0.54,0.54,0.31,0.77,21
39,9845,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,Hulki Festival Song,19.2,81.93,0.69,0.08,0.08,0.54,0.54,0.77,0.08,0.08,0.08,0.54,0.85,0.23,0.08,0.08,0.69,0.85,0.88,0.62,0.08,0.54,0.54,0.08,0.77,0.69,0.54,1.0,0.08,0.69,0.54,0.54,1.0,0.54,0.35,0.54,0.54,0.54,0.54,21
40,9846,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,Kokorin Pata,19.2,81.93,0.92,0.23,0.46,0.54,0.77,0.77,0.08,0.77,0.54,0.77,0.46,0.23,0.23,0.23,0.69,0.92,0.54,1.0,0.08,0.77,0.0,0.0,0.77,0.0,0.54,1.0,1.0,0.38,0.08,0.77,0.0,0.31,0.62,0.54,0.77,0.54,1.0,21
41,9847,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,Wedding Song,19.2,81.93,0.38,0.08,0.08,0.54,0.54,0.77,0.08,0.08,0.08,0.77,0.46,0.23,0.08,0.08,0.69,0.92,0.77,0.85,0.31,0.77,0.54,0.08,1.0,0.85,0.54,1.0,0.08,0.38,0.54,0.77,0.0,0.31,0.46,0.54,0.54,0.31,0.54,21
42,9848,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,Wedding Dance Song,19.2,81.93,0.38,0.85,1.0,0.54,0.54,0.77,1.0,1.0,0.54,0.77,0.46,0.23,0.46,1.0,0.0,0.46,0.88,0.38,0.31,0.77,0.77,0.08,1.0,0.85,0.54,1.0,0.38,0.69,1.0,0.77,0.54,0.42,0.46,0.54,0.54,0.54,0.77,21
43,9849,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,Nano Pata,19.2,81.93,0.35,0.08,0.08,0.88,0.77,0.54,0.08,0.08,0.08,0.77,0.69,0.23,0.08,0.08,0.69,0.46,1.0,0.62,0.69,0.54,0.77,0.46,1.0,0.85,0.31,1.0,0.08,1.0,0.54,0.77,1.0,0.77,0.62,0.54,0.54,0.77,0.77,21
44,9850,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,Koya Pata,19.2,81.93,0.73,0.08,0.08,0.54,0.77,0.77,0.08,0.08,0.08,0.77,0.46,0.23,0.08,0.08,0.69,0.85,0.88,0.85,0.0,0.54,0.54,0.08,1.0,0.85,0.54,0.69,0.08,1.0,0.54,0.77,1.0,0.54,0.35,0.31,0.54,0.54,0.77,21
46,3802,North,India,C India/ Central Tribal Area,Malwa,Korku,Austroasiatic,Non-Tribal,Puja Song,21.77,78.17,0.46,0.15,0.15,1.0,0.54,0.77,0.31,0.08,0.08,0.54,0.85,0.38,0.46,0.08,0.69,0.85,0.54,0.85,0.69,0.54,0.77,0.46,0.77,0.69,0.31,0.69,1.0,0.69,1.0,0.54,1.0,0.77,0.46,0.31,0.31,0.77,0.77,10
47,3803,North,India,C India/ Central Tribal Area,Malwa,Korku,Austroasiatic,Non-Tribal,"Danda Gana, Pola Festival",21.77,78.17,0.46,0.15,0.38,0.77,0.77,0.77,1.0,0.77,0.77,0.54,0.85,0.38,0.46,0.85,0.69,0.92,0.77,0.85,0.31,0.54,0.54,0.08,0.31,0.85,0.77,1.0,1.0,0.69,1.0,0.54,1.0,0.77,0.46,0.31,0.31,0.54,0.31,10
48,3804,North,India,C India/ Central Tribal Area,Malwa,Korku,Austroasiatic,Non-Tribal,Pagnai Song,21.77,78.17,0.81,0.15,0.38,0.77,0.54,0.54,1.0,0.77,0.77,0.77,0.85,0.31,0.46,0.85,0.69,0.92,0.54,1.0,0.31,0.54,0.31,0.08,0.54,0.85,0.77,1.0,1.0,0.38,1.0,0.77,1.0,0.54,0.46,0.42,0.42,0.54,0.42,10
49,3805,North,India,C India/ Central Tribal Area,Malwa,Korku,Austroasiatic,Non-Tribal,Sukh Tara,21.77,78.17,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.54,0.85,0.08,0.08,0.08,0.69,0.85,0.77,0.85,0.08,0.54,0.31,0.08,0.54,0.77,0.31,0.69,1.0,0.69,1.0,0.54,1.0,0.54,0.62,0.42,0.54,0.77,0.77,10
50,3806,North,India,C India/ Central Tribal Area,Malwa,Korku,Austroasiatic,Non-Tribal,Bhavani Mata,21.77,78.17,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.54,0.85,0.08,0.08,0.08,0.69,0.85,0.54,1.0,0.69,0.31,0.54,0.08,0.77,0.85,0.31,0.69,1.0,0.69,1.0,0.54,1.0,0.54,0.62,0.54,0.54,0.54,0.77,10
51,3807,North,India,C India/ Central Tribal Area,Malwa,Korku,Austroasiatic,Non-Tribal,Potyoka Myna Babu,21.77,78.17,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.31,0.85,0.08,0.08,0.08,0.69,0.92,0.77,0.85,0.69,0.31,0.54,0.08,0.54,0.85,0.54,1.0,1.0,0.69,0.54,0.31,1.0,0.54,0.62,0.54,0.54,0.77,0.77,10
52,3808,North,India,C India/ Central Tribal Area,Malwa,Korku,Austroasiatic,Non-Tribal,"Rando Rando, a Marriage",21.77,78.17,0.46,0.08,0.08,0.77,0.54,0.31,0.08,0.08,0.08,0.54,0.85,0.38,0.08,0.08,0.69,0.85,0.54,1.0,0.31,0.31,0.31,0.08,0.31,0.69,0.54,0.69,1.0,0.69,0.54,0.54,0.54,0.77,0.62,0.31,0.54,0.54,0.77,10
53,3809,North,India,C India/ Central Tribal Area,Malwa,Korku,Austroasiatic,Non-Tribal,Aje Mando,21.77,78.17,0.46,0.08,0.08,0.77,0.31,0.54,0.08,0.08,0.08,0.54,0.85,0.38,0.08,0.08,0.69,0.69,0.54,1.0,0.08,0.31,0.31,0.08,0.54,0.38,0.31,0.69,1.0,0.69,0.54,0.54,1.0,0.77,0.62,0.08,0.54,0.77,1.0,10
54,3810,North,India,C India/ Central Tribal Area,Malwa,Korku,Austroasiatic,Non-Tribal,Amma Amava,21.77,78.17,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.77,0.85,0.08,0.08,0.08,0.69,0.85,0.77,0.81,0.85,0.31,0.54,0.08,0.77,0.69,0.42,0.69,1.0,0.69,1.0,0.77,1.0,0.54,0.62,0.31,0.54,0.42,0.54,10
55,3811,North,India,C India/ Central Tribal Area,Malwa,Korku,Austroasiatic,Non-Tribal,Choona Bulayo,21.77,78.17,0.69,0.08,0.08,0.77,0.31,0.31,0.08,0.08,0.08,0.54,0.85,0.23,0.08,0.08,0.69,0.85,0.54,1.0,0.08,0.31,0.54,0.08,0.54,0.69,0.54,0.69,1.0,0.38,0.54,0.54,1.0,0.77,0.35,0.31,0.54,0.77,0.54,10
56,3820,North,India,E C India/ E Central Tribal Area,Chota Nagpur Plateau,Bhumij,Austroasiatic,Tribal,Radha and Krishna,22.5,85.5,0.15,0.62,0.54,0.31,0.08,0.08,0.77,0.54,0.08,0.54,0.85,0.08,0.92,0.38,0.69,0.46,0.77,0.23,0.31,0.54,0.31,0.08,0.31,0.85,0.77,0.38,0.38,0.69,0.54,0.54,0.08,0.77,0.23,0.31,0.54,0.31,0.54,17
57,3821,North,India,E C India/ E Central Tribal Area,Chota Nagpur Plateau,Bhumij,Austroasiatic,Tribal,Radha and Krishna,22.5,85.5,0.15,0.62,0.54,0.31,0.08,0.08,1.0,0.54,0.31,0.54,0.85,0.08,0.85,0.38,0.69,0.46,0.77,0.62,0.31,0.77,0.54,0.08,0.31,0.85,0.77,0.69,0.69,0.69,0.54,0.54,0.54,0.31,0.62,0.31,0.54,0.31,0.54,17
58,3822,North,India,E C India/ E Central Tribal Area,Chota Nagpur Plateau,Bhumij,Austroasiatic,Tribal,Khyapar Dhua,23.34,86.36,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.31,0.85,0.08,0.08,0.08,0.69,0.69,0.77,0.08,0.31,0.77,0.54,0.08,0.54,0.85,0.77,0.69,1.0,0.69,0.54,0.31,0.54,0.42,0.62,0.54,0.54,0.77,0.31,17
59,3823,North,India,E C India/ E Central Tribal Area,Chota Nagpur Plateau,Bhumij,Austroasiatic,Tribal,Dehatatva,23.34,86.36,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.31,0.85,0.08,0.08,0.08,0.69,0.38,0.54,0.23,0.31,0.77,0.31,0.08,0.31,0.69,0.54,0.69,1.0,1.0,0.54,0.31,0.54,0.77,0.62,0.31,0.54,0.42,0.31,17
60,3824,North,India,E C India/ E Central Tribal Area,Chota Nagpur Plateau,Bhumij,Austroasiatic,Tribal,Bhaduriya Danr Saila,23.34,86.36,0.62,0.23,0.38,0.77,0.54,0.54,0.54,0.54,0.77,0.54,0.46,0.38,0.46,0.69,0.69,0.46,0.77,0.23,0.08,0.54,0.54,0.08,0.77,0.69,0.77,1.0,1.0,0.69,1.0,0.54,0.54,0.54,0.62,0.54,0.54,0.42,0.54,17
61,3825,North,India,E C India/ E Central Tribal Area,Chota Nagpur Plateau,Bhumij,Austroasiatic,Tribal,Nachni Saila Jhumur,23.34,86.36,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.08,1.0,0.08,0.08,0.08,0.69,0.15,0.77,0.08,0.31,0.77,0.54,0.08,0.31,0.85,0.42,0.08,1.0,0.69,0.54,0.08,0.54,0.77,0.62,0.54,0.54,0.77,0.31,17
62,3826,North,India,E C India/ E Central Tribal Area,Chota Nagpur Plateau,Bhumij,Austroasiatic,Tribal,Sarhul Song,23.34,86.36,0.15,0.92,0.15,0.31,0.08,0.08,0.31,0.08,0.08,0.54,0.46,0.08,0.46,0.69,0.69,0.62,0.77,0.92,0.08,0.54,0.54,0.08,0.77,0.77,0.77,0.69,1.0,0.38,0.54,0.54,1.0,0.77,0.35,0.31,0.77,0.77,0.77,17
