canto_coding_id,soc_id,region,division,subregion,area_kingdom,culture,language,people,song,lat,lng,line_1,line_2,line_3,line_4,line_5,line_6,line_7,line_8,line_9,line_10,line_11,line_12,line_13,line_14,line_15,line_16,line_17,line_18,line_19,line_20,line_21,line_22,line_23,line_24,line_25,line_26,line_27,line_28,line_29,line_30,line_31,line_32,line_33,line_34,line_35,line_36,line_37
3782,14477.0,North,India,C India/ Central Tribal Area,Chhattisgarh,Dhurwa Gond,Dravidian,Tribal,Marriage Conduct and Comfort Song for the Bride ,18.75,81.78,0.92,0.62,0.15,0.88,0.77,0.77,0.31,0.08,0.08,0.54,1.0,0.31,0.85,0.69,0.69,0.92,0.42,0.85,0.31,0.54,0.31,0.23,0.77,0.85,0.77,1.0,1.0,0.38,0.54,0.54,1.0,0.54,0.77,0.77,0.77,0.77,0.77
3783,14477.0,North,India,C India/ Central Tribal Area,Chhattisgarh,Dhurwa Gond,Dravidian,Tribal,Cradle Song,18.75,81.78,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.77,0.85,0.08,0.08,0.08,0.69,0.77,0.54,1.0,0.31,0.31,0.31,0.08,0.77,0.38,0.31,0.38,1.0,0.69,0.54,0.77,1.0,0.54,0.62,0.54,0.77,0.77,0.77
3784,14708.0,North,India,C India/ Central Tribal Area,Chhattisgarh,Dorla,Dravidian,Tribal,Sire Sodi,24.61,80.48,0.38,0.08,0.08,0.77,0.77,0.54,0.08,0.08,0.08,0.54,0.85,0.23,0.08,0.08,0.69,0.92,0.54,0.85,0.31,0.54,0.54,0.08,0.77,0.85,0.54,0.69,1.0,0.38,0.54,0.54,1.0,0.54,0.62,0.54,0.54,0.54,0.54
3785,14708.0,North,India,C India/ Central Tribal Area,Chhattisgarh,Dorla,Dravidian,Tribal,Lankele Seloya,24.61,80.48,0.38,0.08,0.08,0.77,0.77,0.77,0.08,0.08,0.08,0.31,0.85,0.23,0.08,0.08,0.69,0.85,0.31,1.0,0.31,0.54,0.77,0.08,0.77,0.69,0.54,0.69,1.0,0.38,1.0,0.31,0.54,0.54,0.62,0.54,0.54,0.54,0.54
3786,14708.0,North,India,C India/ Central Tribal Area,Chhattisgarh,Dorla,Dravidian,Tribal,Gamayo Niga,24.61,80.48,0.38,0.08,0.08,0.77,0.0,0.54,0.08,0.08,0.08,0.54,0.85,0.23,0.08,0.08,0.69,0.92,0.42,0.85,0.08,0.54,0.54,0.08,0.77,0.69,0.54,0.69,1.0,0.38,1.0,0.54,0.0,0.77,0.62,0.0,0.0,0.42,0.54
3787,14708.0,North,India,C India/ Central Tribal Area,Chhattisgarh,Dorla,Dravidian,Tribal,Communal Worship by Girls,24.61,80.48,0.46,0.08,0.08,0.54,0.0,0.54,0.08,0.08,0.08,0.54,0.85,0.23,0.08,0.08,0.69,0.92,0.54,1.0,0.08,0.31,0.54,0.08,0.77,0.69,0.54,1.0,1.0,0.69,0.54,0.54,1.0,0.54,0.62,0.54,0.54,0.77,0.54
3788,14708.0,North,India,C India/ Central Tribal Area,Chhattisgarh,Dorla,Dravidian,Tribal,Yawayo Utkan ,14.51,78.36,0.38,0.08,0.08,0.54,0.77,0.54,0.08,0.08,0.08,0.77,0.85,0.23,0.08,0.08,0.69,0.85,0.54,0.85,0.08,1.0,0.54,0.08,0.77,0.69,0.42,1.0,1.0,0.38,0.54,0.77,1.0,1.0,0.62,0.31,0.54,0.77,0.77
3789,14708.0,North,India,C India/ Central Tribal Area,Chhattisgarh,Dorla,Dravidian,Tribal,E Nate Layyor,14.51,78.36,0.77,0.08,0.08,0.54,0.31,0.54,0.08,0.08,0.08,0.54,0.85,0.23,0.08,0.08,0.69,0.38,0.77,0.38,0.08,0.54,0.54,0.08,0.77,0.85,0.54,1.0,1.0,0.69,0.54,0.54,0.54,0.77,0.46,0.31,0.31,0.77,0.77
3798,14708.0,North,India,C India/ Central Tribal Area,Chhattisgarh,Dorla,Dravidian,Tribal,Raju Benond Raju,14.51,78.36,0.38,0.08,0.08,1.0,0.77,0.54,0.08,0.08,0.08,0.31,0.85,0.38,0.08,0.08,0.69,0.62,0.42,0.85,0.08,1.0,0.54,0.46,0.0,0.69,0.54,0.38,1.0,0.69,0.54,0.31,1.0,1.0,0.62,0.42,0.54,0.54,0.77
3799,14708.0,North,India,C India/ Central Tribal Area,Chhattisgarh,Dorla,Dravidian,Tribal,E Badrachalamma,24.61,80.48,0.15,0.08,0.08,1.0,0.77,0.54,0.08,0.08,0.08,0.54,0.85,0.23,0.08,0.08,0.69,0.85,0.77,0.85,0.08,0.54,0.31,0.46,0.77,0.85,0.54,1.0,1.0,0.38,0.54,0.54,1.0,0.42,0.62,0.54,0.77,0.54,0.54
3800,14708.0,North,India,C India/ Central Tribal Area,Chhattisgarh,Dorla,Dravidian,Tribal,Folk Tale Told Musically,14.51,78.36,0.38,0.08,0.08,0.77,0.31,0.31,0.08,0.08,0.08,0.31,0.85,0.38,0.08,0.08,0.69,0.77,0.77,0.85,0.31,0.77,0.54,0.08,0.54,0.69,0.54,0.38,1.0,0.38,0.54,0.31,1.0,0.54,0.0,0.31,0.31,0.54,0.77
3801,14708.0,North,India,C India/ Central Tribal Area,Chhattisgarh,Dorla,Dravidian,Tribal,Jeddi Kaval Pilla,24.61,80.48,0.46,0.08,0.08,1.0,0.31,0.31,0.08,0.08,0.08,0.54,0.85,0.38,0.08,0.08,0.69,0.92,0.54,0.23,0.69,0.31,0.54,0.46,0.77,0.85,0.77,0.69,1.0,0.38,1.0,0.54,1.0,0.31,0.62,0.54,0.77,0.77,0.77
3885,21924.0,North,India,C India/ Central Tribal Area,Chhattisgarh,Muria Gond,Dravidian,Tribal,"Excerpt from The Flute and the Arrow, Film Soundtrack",19.1,81.95,0.46,0.08,0.08,0.54,0.77,0.54,0.08,0.08,0.08,0.77,0.85,0.23,0.08,0.08,0.69,0.92,0.31,1.0,0.69,0.54,0.77,0.08,0.77,0.38,0.08,0.38,1.0,0.38,0.54,0.77,1.0,0.54,0.62,0.77,0.77,1.0,1.0
3886,21924.0,North,India,C India/ Central Tribal Area,Chhattisgarh,Muria Gond,Dravidian,Tribal,Appeal to Gods,19.1,81.95,0.5,0.69,0.5,1.0,0.77,0.77,0.88,0.77,1.0,0.77,0.85,0.23,0.46,0.69,0.69,0.69,0.77,0.85,0.08,0.54,0.77,0.46,0.54,0.85,0.77,0.69,0.38,0.38,1.0,0.77,1.0,0.77,0.62,0.77,0.54,0.31,0.77
411,16028.0,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,Gondi Song,21.14,79.08,0.62,0.08,0.08,0.54,0.54,0.77,0.08,0.08,0.08,0.08,0.46,0.23,0.08,0.08,0.69,0.92,0.77,0.62,0.31,0.54,0.77,0.08,1.0,0.69,0.54,1.0,1.0,0.69,1.0,0.08,1.0,0.42,0.81,0.77,0.31,0.54,0.54
844,16028.0,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,Gond Folk Song,21.14,79.08,0.69,0.23,0.46,0.54,0.54,0.77,0.54,0.54,1.0,0.54,0.85,0.23,0.46,0.54,0.08,0.92,0.54,1.0,0.08,0.31,0.77,0.08,1.0,0.69,0.77,1.0,1.0,1.0,1.0,0.54,1.0,0.54,0.35,0.42,0.42,0.54,0.31
846,16028.0,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,Gond Folk Song,21.14,79.08,0.46,0.23,0.46,0.54,0.77,0.77,0.54,0.54,1.0,0.54,0.46,0.23,0.46,0.54,0.69,0.92,0.54,1.0,0.08,0.31,0.77,0.08,0.77,0.69,0.77,1.0,1.0,1.0,1.0,0.54,1.0,0.54,0.35,0.54,0.42,0.54,0.31
847,16028.0,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,Gond Folk Song,21.14,79.08,0.69,0.23,0.46,0.54,0.77,0.77,0.54,0.54,0.77,0.54,0.46,0.23,0.46,0.54,0.69,0.46,0.54,0.69,0.31,0.31,0.54,0.08,1.0,0.69,0.54,1.0,1.0,1.0,1.0,0.54,1.0,0.54,0.35,0.42,0.42,0.54,0.31
848,16028.0,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,Gond Folk Song,21.14,79.08,0.69,0.23,0.38,0.54,0.77,0.77,0.54,0.54,1.0,0.54,0.85,0.23,0.35,0.54,0.69,0.85,0.31,0.85,0.08,0.31,0.54,0.08,0.77,0.69,0.54,1.0,1.0,1.0,1.0,0.54,1.0,0.54,0.46,0.54,0.54,0.54,0.31
849,16028.0,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,Gond Folk Song,21.14,79.08,0.69,0.23,0.38,0.54,0.77,0.77,1.0,0.54,1.0,0.54,0.46,0.23,0.35,0.85,0.69,0.92,0.54,0.85,0.08,0.54,0.54,0.08,0.77,0.77,0.77,1.0,1.0,1.0,0.54,0.54,1.0,0.54,0.35,0.42,0.54,0.54,0.31
850,16028.0,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,Gond Folk Song,21.14,79.08,0.69,0.23,0.46,0.54,0.77,0.77,1.0,0.54,1.0,0.54,0.85,0.23,0.35,0.85,0.69,0.23,0.54,0.62,0.08,0.54,0.54,0.08,0.54,0.69,0.77,1.0,1.0,1.0,1.0,0.54,1.0,0.54,0.35,0.42,0.42,0.54,0.31
851,16028.0,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,Gond Folk Song,21.14,79.08,0.69,0.23,0.46,0.54,0.77,0.77,1.0,0.54,1.0,0.54,0.85,0.23,0.35,0.85,0.69,0.38,0.54,0.62,0.08,0.54,0.54,0.08,0.54,0.69,0.77,1.0,1.0,1.0,1.0,0.54,1.0,0.54,0.35,0.42,0.42,0.54,0.31
852,16028.0,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,Gond Folk Song,21.14,79.08,0.69,0.23,0.69,0.54,0.54,0.77,1.0,0.77,1.0,0.54,0.85,0.23,0.35,0.85,0.69,0.69,0.31,0.08,0.31,0.31,0.54,0.08,0.77,0.69,0.54,1.0,1.0,1.0,1.0,0.54,1.0,0.54,0.35,0.42,0.42,0.54,0.31
3797,16028.0,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,Phagun Song,22.97,78.65,0.46,0.08,0.08,0.54,0.77,0.77,0.08,0.08,0.08,0.54,0.85,0.23,0.08,0.08,0.69,0.92,0.54,1.0,0.08,0.31,0.54,0.08,0.0,0.69,0.77,0.69,1.0,0.69,0.54,0.54,1.0,0.54,0.62,0.77,0.77,0.54,0.54
3853,16028.0,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,"Phag, Albelam Talaiyya",22.34,78.66,0.46,0.15,0.38,0.54,0.54,0.54,1.0,0.77,0.77,0.54,0.46,0.23,0.46,0.69,0.69,0.92,0.77,0.85,0.31,0.54,0.54,0.08,0.77,0.85,0.77,1.0,1.0,0.69,0.54,0.54,1.0,0.42,0.46,0.54,0.42,0.54,0.77
3854,16028.0,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,Karma Geet,22.59,80.37,0.46,0.15,0.38,0.88,0.54,0.77,1.0,0.54,0.77,0.77,0.46,0.38,0.46,0.69,0.69,0.85,0.54,0.85,0.19,0.54,0.54,0.62,0.54,0.77,0.77,1.0,1.0,0.69,1.0,0.77,1.0,0.54,0.62,0.54,0.31,0.54,0.77
9842,16028.0,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,Ghotul Pata,19.2,81.93,0.69,0.08,0.08,1.0,0.54,0.31,0.08,0.08,0.08,0.54,0.85,0.23,0.08,0.08,0.69,0.62,0.42,0.85,0.0,0.77,0.77,0.23,1.0,0.69,0.77,0.69,0.08,0.38,0.54,0.54,1.0,0.54,0.35,0.54,0.31,0.54,0.54
9843,16028.0,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,Love Song,19.2,81.93,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.54,0.85,0.08,0.08,0.08,0.69,0.77,0.42,0.73,0.69,0.77,0.77,0.08,0.77,0.69,0.77,0.69,0.08,0.38,0.54,0.54,0.54,0.31,1.0,0.31,0.31,0.54,0.54
9844,16028.0,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,Marminga Pata,19.2,81.93,0.46,0.69,1.0,0.54,0.77,0.77,1.0,0.54,0.77,0.77,0.46,0.23,0.35,0.85,0.69,0.92,0.42,0.85,0.31,0.54,0.77,0.08,1.0,0.69,0.77,1.0,0.69,0.69,0.54,0.77,1.0,0.54,0.46,0.54,0.54,0.31,0.77
9845,16028.0,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,Hulki Festival Song,19.2,81.93,0.69,0.08,0.08,0.54,0.54,0.77,0.08,0.08,0.08,0.54,0.85,0.23,0.08,0.08,0.69,0.85,0.88,0.62,0.08,0.54,0.54,0.08,0.77,0.69,0.54,1.0,0.08,0.69,0.54,0.54,1.0,0.54,0.35,0.54,0.54,0.54,0.54
9846,16028.0,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,Kokorin Pata,19.2,81.93,0.92,0.23,0.46,0.54,0.77,0.77,0.08,0.77,0.54,0.77,0.46,0.23,0.23,0.23,0.69,0.92,0.54,1.0,0.08,0.77,0.0,0.0,0.77,0.0,0.54,1.0,1.0,0.38,0.08,0.77,0.0,0.31,0.62,0.54,0.77,0.54,1.0
9847,16028.0,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,Wedding Song,19.2,81.93,0.38,0.08,0.08,0.54,0.54,0.77,0.08,0.08,0.08,0.77,0.46,0.23,0.08,0.08,0.69,0.92,0.77,0.85,0.31,0.77,0.54,0.08,1.0,0.85,0.54,1.0,0.08,0.38,0.54,0.77,0.0,0.31,0.46,0.54,0.54,0.31,0.54
9848,16028.0,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,Wedding Dance Song,19.2,81.93,0.38,0.85,1.0,0.54,0.54,0.77,1.0,1.0,0.54,0.77,0.46,0.23,0.46,1.0,0.0,0.46,0.88,0.38,0.31,0.77,0.77,0.08,1.0,0.85,0.54,1.0,0.38,0.69,1.0,0.77,0.54,0.42,0.46,0.54,0.54,0.54,0.77
9849,16028.0,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,Nano Pata,19.2,81.93,0.35,0.08,0.08,0.88,0.77,0.54,0.08,0.08,0.08,0.77,0.69,0.23,0.08,0.08,0.69,0.46,1.0,0.62,0.69,0.54,0.77,0.46,1.0,0.85,0.31,1.0,0.08,1.0,0.54,0.77,1.0,0.77,0.62,0.54,0.54,0.77,0.77
9850,16028.0,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,Koya Pata,19.2,81.93,0.73,0.08,0.08,0.54,0.77,0.77,0.08,0.08,0.08,0.77,0.46,0.23,0.08,0.08,0.69,0.85,0.88,0.85,0.0,0.54,0.54,0.08,1.0,0.85,0.54,0.69,0.08,1.0,0.54,0.77,1.0,0.54,0.35,0.31,0.54,0.54,0.77
756,13333.0,North,India,C India/ Central Tribal Area,Malwa,C Indian Folk,Indo-European,Non-Tribal,Tabla Tarangi,22.97,78.65,0.46,0.38,0.46,0.54,0.31,0.54,0.77,0.31,0.54,0.08,0.69,0.23,0.69,0.69,0.08,0.15,0.77,0.08,0.85,0.54,0.31,0.08,0.08,0.85,0.54,1.0,1.0,0.38,1.0,0.08,1.0,0.31,0.08,0.08,0.54,0.54,0.77
3802,18943.0,North,India,C India/ Central Tribal Area,Malwa,Korku,Austroasiatic,Non-Tribal,Puja Song,21.77,78.17,0.46,0.15,0.15,1.0,0.54,0.77,0.31,0.08,0.08,0.54,0.85,0.38,0.46,0.08,0.69,0.85,0.54,0.85,0.69,0.54,0.77,0.46,0.77,0.69,0.31,0.69,1.0,0.69,1.0,0.54,1.0,0.77,0.46,0.31,0.31,0.77,0.77
3803,18943.0,North,India,C India/ Central Tribal Area,Malwa,Korku,Austroasiatic,Non-Tribal,"Danda Gana, Pola Festival",21.77,78.17,0.46,0.15,0.38,0.77,0.77,0.77,1.0,0.77,0.77,0.54,0.85,0.38,0.46,0.85,0.69,0.92,0.77,0.85,0.31,0.54,0.54,0.08,0.31,0.85,0.77,1.0,1.0,0.69,1.0,0.54,1.0,0.77,0.46,0.31,0.31,0.54,0.31
3804,18943.0,North,India,C India/ Central Tribal Area,Malwa,Korku,Austroasiatic,Non-Tribal,Pagnai Song,21.77,78.17,0.81,0.15,0.38,0.77,0.54,0.54,1.0,0.77,0.77,0.77,0.85,0.31,0.46,0.85,0.69,0.92,0.54,1.0,0.31,0.54,0.31,0.08,0.54,0.85,0.77,1.0,1.0,0.38,1.0,0.77,1.0,0.54,0.46,0.42,0.42,0.54,0.42
3805,18943.0,North,India,C India/ Central Tribal Area,Malwa,Korku,Austroasiatic,Non-Tribal,Sukh Tara,21.77,78.17,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.54,0.85,0.08,0.08,0.08,0.69,0.85,0.77,0.85,0.08,0.54,0.31,0.08,0.54,0.77,0.31,0.69,1.0,0.69,1.0,0.54,1.0,0.54,0.62,0.42,0.54,0.77,0.77
3806,18943.0,North,India,C India/ Central Tribal Area,Malwa,Korku,Austroasiatic,Non-Tribal,Bhavani Mata,21.77,78.17,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.54,0.85,0.08,0.08,0.08,0.69,0.85,0.54,1.0,0.69,0.31,0.54,0.08,0.77,0.85,0.31,0.69,1.0,0.69,1.0,0.54,1.0,0.54,0.62,0.54,0.54,0.54,0.77
3807,18943.0,North,India,C India/ Central Tribal Area,Malwa,Korku,Austroasiatic,Non-Tribal,Potyoka Myna Babu,21.77,78.17,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.31,0.85,0.08,0.08,0.08,0.69,0.92,0.77,0.85,0.69,0.31,0.54,0.08,0.54,0.85,0.54,1.0,1.0,0.69,0.54,0.31,1.0,0.54,0.62,0.54,0.54,0.77,0.77
3808,18943.0,North,India,C India/ Central Tribal Area,Malwa,Korku,Austroasiatic,Non-Tribal,"Rando Rando, a Marriage",21.77,78.17,0.46,0.08,0.08,0.77,0.54,0.31,0.08,0.08,0.08,0.54,0.85,0.38,0.08,0.08,0.69,0.85,0.54,1.0,0.31,0.31,0.31,0.08,0.31,0.69,0.54,0.69,1.0,0.69,0.54,0.54,0.54,0.77,0.62,0.31,0.54,0.54,0.77
3809,18943.0,North,India,C India/ Central Tribal Area,Malwa,Korku,Austroasiatic,Non-Tribal,Aje Mando,21.77,78.17,0.46,0.08,0.08,0.77,0.31,0.54,0.08,0.08,0.08,0.54,0.85,0.38,0.08,0.08,0.69,0.69,0.54,1.0,0.08,0.31,0.31,0.08,0.54,0.38,0.31,0.69,1.0,0.69,0.54,0.54,1.0,0.77,0.62,0.08,0.54,0.77,1.0
3810,18943.0,North,India,C India/ Central Tribal Area,Malwa,Korku,Austroasiatic,Non-Tribal,Amma Amava,21.77,78.17,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.77,0.85,0.08,0.08,0.08,0.69,0.85,0.77,0.81,0.85,0.31,0.54,0.08,0.77,0.69,0.42,0.69,1.0,0.69,1.0,0.77,1.0,0.54,0.62,0.31,0.54,0.42,0.54
3811,18943.0,North,India,C India/ Central Tribal Area,Malwa,Korku,Austroasiatic,Non-Tribal,Choona Bulayo,21.77,78.17,0.69,0.08,0.08,0.77,0.31,0.31,0.08,0.08,0.08,0.54,0.85,0.23,0.08,0.08,0.69,0.85,0.54,1.0,0.08,0.31,0.54,0.08,0.54,0.69,0.54,0.69,1.0,0.38,0.54,0.54,1.0,0.77,0.35,0.31,0.54,0.77,0.54
3820,12178.0,North,India,E C India/ E Central Tribal Area,Chota Nagpur Plateau,Bhumij,Austroasiatic,Tribal,Radha and Krishna,22.5,85.5,0.15,0.62,0.54,0.31,0.08,0.08,0.77,0.54,0.08,0.54,0.85,0.08,0.92,0.38,0.69,0.46,0.77,0.23,0.31,0.54,0.31,0.08,0.31,0.85,0.77,0.38,0.38,0.69,0.54,0.54,0.08,0.77,0.23,0.31,0.54,0.31,0.54
3821,12178.0,North,India,E C India/ E Central Tribal Area,Chota Nagpur Plateau,Bhumij,Austroasiatic,Tribal,Radha and Krishna,22.5,85.5,0.15,0.62,0.54,0.31,0.08,0.08,1.0,0.54,0.31,0.54,0.85,0.08,0.85,0.38,0.69,0.46,0.77,0.62,0.31,0.77,0.54,0.08,0.31,0.85,0.77,0.69,0.69,0.69,0.54,0.54,0.54,0.31,0.62,0.31,0.54,0.31,0.54
3822,12178.0,North,India,E C India/ E Central Tribal Area,Chota Nagpur Plateau,Bhumij,Austroasiatic,Tribal,Khyapar Dhua,23.34,86.36,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.31,0.85,0.08,0.08,0.08,0.69,0.69,0.77,0.08,0.31,0.77,0.54,0.08,0.54,0.85,0.77,0.69,1.0,0.69,0.54,0.31,0.54,0.42,0.62,0.54,0.54,0.77,0.31
3823,12178.0,North,India,E C India/ E Central Tribal Area,Chota Nagpur Plateau,Bhumij,Austroasiatic,Tribal,Dehatatva,23.34,86.36,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.31,0.85,0.08,0.08,0.08,0.69,0.38,0.54,0.23,0.31,0.77,0.31,0.08,0.31,0.69,0.54,0.69,1.0,1.0,0.54,0.31,0.54,0.77,0.62,0.31,0.54,0.42,0.31
3824,12178.0,North,India,E C India/ E Central Tribal Area,Chota Nagpur Plateau,Bhumij,Austroasiatic,Tribal,Bhaduriya Danr Saila,23.34,86.36,0.62,0.23,0.38,0.77,0.54,0.54,0.54,0.54,0.77,0.54,0.46,0.38,0.46,0.69,0.69,0.46,0.77,0.23,0.08,0.54,0.54,0.08,0.77,0.69,0.77,1.0,1.0,0.69,1.0,0.54,0.54,0.54,0.62,0.54,0.54,0.42,0.54
3825,12178.0,North,India,E C India/ E Central Tribal Area,Chota Nagpur Plateau,Bhumij,Austroasiatic,Tribal,Nachni Saila Jhumur,23.34,86.36,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.08,1.0,0.08,0.08,0.08,0.69,0.15,0.77,0.08,0.31,0.77,0.54,0.08,0.31,0.85,0.42,0.08,1.0,0.69,0.54,0.08,0.54,0.77,0.62,0.54,0.54,0.77,0.31
