Cu_lat,Cu_long,Area_lat,Area_long,Region,Division,Subregion,Area/Kingdom,Culture,People,People2,People3,Arensberg-Lomax_clusters,Focal_years,Koppen_climate_terrain,Koppen_code,Arensberg/Lomax_taxon,Taxon_id,Language,Lang_Family,ISO_code,Glottocode,Country,Country_id,All_cid,C_cid,M_cid,Ch_cid,P_cid,Ph_cid,I+cid,Soc_cid,D-Place_Id,C_sample_size,M_sample_size,P_sample_size,Ph_sample_size,Alt_culture_names,EA_cu_name,EA_cu# UPDATE,Murdock_cu#,EA_Prov_name,EA_Prov_#,EA_Prov_notes,EA_#,Culture_Wiki,People/Culture,Notes_1,Notes_2,Culture Sources
1.57,30.23,1.83,29.5,Africa,Central Africa,Equatorial Central Africa,"Ituri Prov, N E DR Congo",Lendu,Lenduic Peoples,Central Sudanic Peoples,West & Central African Peoples,Tropical Gardeners,1952,"Tropical Rainforest, Monsoon, Tropical Savanna","Af, Am, Aw ",AH-Savannah,scfal868,Lendu,"Central Sudanic, Lenduic, Bale",ISO 639-3: led,lend1245,Democratic Republic of the Congo,,19801,19801,,,,,,19801,,3,,,,Balendru,LENDU,Ai29,19801,Azande-Mangbetu,34,,22861,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottolend1245 @Ethnoled @WikiLendu  
1.55,28.44,1.83,29.5,Africa,Central Africa,Equatorial Central Africa,"Ituri Prov, N E DR Congo",Lese,Membi-Mangbutu-Efe (8),Central Sudanic Peoples,West & Central African Peoples,Tropical Gardeners,1958,"Tropical Rainforest, Monsoon, Tropical Savanna","Af, Am, Aw ",AH-Savannah,scfal869,Lese,"Central Sudanic, Membi-Mangbutu-Efe, Mangbutu-Efe, Leseic",ISO 639-3: les,lese1243,Democratic Republic of the Congo,,19856,19856,,,,,,19856,,1,,,,,LESE,Ai30,19856,Azande-Mangbetu,34,,36941,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottolese1243 @Ethnoles @WikiLese  
1,30,1.83,29.5,Africa,Central Africa,Equatorial Central Africa,"Ituri Prov, N E DR Congo",Plains Bira,Old Bomokandian,Benue Congo Peoples,West & Central African Peoples,Tropical Gardeners,,Tropical Rainforest,Af,AH-Savannah,scfal911,Bera,"Atlantic-Congo, Volta-Congo, Bantoid, Narrow Bantu, Ababuan, Komoic",ISO 639-3: brf,bera1259,Democratic Republic of the Congo,,30036,,,,,,,30036,,,,,,Bera,PLAINS BIRA,Ae34,,Northern Equatorial Bantu,16,,50780,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottobera1259 @Ethnobrf  @WikiIturiProvince 
1.64,26.41,1.83,29.5,Africa,Central Africa,Equatorial Central Africa,"Ituri Prov, N E DR Congo ",BaNguana,Arabized N Equatorial Bantu,Swahilian Peoples,West & Central African Peoples,Tropical Gardeners; Traders,1958,"Monsoon, Tropical Savannah","Am, Aw",,,Kiswahili,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Sabaki-Swahili, Mombasa-Lamu-Inland Swahili, Swahili",,,Democratic Republic of the Congo,,11600,11600,,,,,,,,2,4,,,BaTambatamba; BaNgwana,BANGUANA,,11600,Southern Equatorial Bantu,14,added for GJB,,wiki,"Formerly Zanzibar Arabs, the BaNguana were involved in the slave trade, and settled near hunter-gatherers in Ituri Forest.",,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap    @WikiIturiProvince 
3.01,30.92,1.83,29.5,Africa,Central Africa,Equatorial Central Africa,"Ituri Prov, N E DR Congo ",Mbuti,Ituri Peoples,African Hunter-Gatherers,West & Central African Peoples,African Gatherers,1958; 1950s; 1952-53; 1952-57; 1954-58,"Monsoon, Tropical Savannah","Am, Aw",C-Africa,scfal6,Asoa,"Central Sudanic, Mangbetu-Asua, Mangbetuic",ISO 639-3: asv,asoa1238,Democratic Republic of the Congo,,21132,21132,21132,21132,21132,,21132,21132,,13,4,1,,Bambuti,MBUTI,Aa5,21132,Pygmies,15,,35922,wiki,"The Mbuti are one of several native forest-dwelling hunter-gatherer (""pygmy"") groups in Africa's Congo region. The Mbuti people inhabit in the Ituri Forest, a tropical rainforest. They are mainly hunter-gatherers.",,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottoasoa1238 @Ethnoasv @WikiMbuti  
5,-22,-5.16,20.95,Africa,Central Africa,Equatorial Central Africa,"Kasai Prov, S DR Congo",Bakuba,Luban ,Central Western Bantu,West & Central African Peoples,Tropical Gardeners,,"Tropical Rainforest, Monsoon, Tropical Savanna","Af, Am, Aw ",AH-Sudan,scfal649,Bushoong,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Narrow Bantu, Nkutsuic, Bushoong-Wongo-Lele",ISO 639-3: buf,bush1247,Democratic Republic of the Congo,,11452,,,11452,,,,,,,,,,"Kuba, Bushongo",KUBA,Ac4,19119,Western Central Bantu,6,,44874,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottobush1247 @Ethnobuf @WikiKuba  
5,-22,-5.16,20.95,Africa,Central Africa,Equatorial Central Africa,"Kasai Prov, S DR Congo",Kasai Twa,Batwa,African Hunter-Gatherers,West & Central African Peoples,African Gatherers,,"Monsoon, Tropical Savannah","Am, Aw",,,Bushoong,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Narrow Bantu, Nkutsuic, Bushoong-Wongo-Lele",ISO 639-3: buf,bush1247,Democratic Republic of the Congo,,62401,,,,,,,,,,,,,Cwa; Batwa; Abatwa; Abathwa,TWA,,,Pygmies,15,added for GJB,,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottobush1247 @Ethnobuf @WikiTwa  
-4.31,27.34,-6.18,22.4,Africa,Central Africa,Equatorial Central Africa,"Kasaï-Central Prov, S DR Congo",Luba-Lulua,Luban ,Central Western Bantu,West & Central African Peoples,Tropical Gardeners,1957,"Monsoon, Tropical Savannah","Am, Aw",Unclassified Food Producers,scfal1247,Luba-Lulua,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Narrow Bantu, Luban, Lubaic",ISO 639-3: lua,luba1249,Democratic Republic of the Congo,,20219,20219,,,,,,20219,,1,,,,Luluwa,LULUA,Ae16,20219,Southern Equatorial Bantu,14,,64334,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottoluba1249 @Ethnolua @WikiLulua  
-5.65,19.83,-4.7,18.65,Africa,Central Africa,Equatorial Central Africa,"Kwilu Prov, S W DR Congo",Pende,Njila Peoples,Central Western Bantu,West & Central African Peoples,Tropical Gardeners,1935-36,Tropical Savannah,Aw,Unclassified Food Producers,scfal1264,Kipende (Phende),"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Njila, Holu, Pheende-Kwezo",ISO 639-3: pem,phen1239,Democratic Republic of Congo,,23563,23563,,,,,,23563,,2,,,,Phende; Bapende; Baphende,PENDE,Ac2,23563,Western Central Bantu,6,,2908,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottophen1239 @Ethnopem @WikiPende  
2.36,31.01,2.79,30.86,Africa,Central Africa,Equatorial Central Africa,N E DR Congo/ N W Uganda,Alur,Luo Burun Peoples,Nilotic Peoples,West & Central African Peoples,African Pastoralists,1952,Tropical Savannah,Aw,AH-Savannah,scfal789,Alur,"Nilotic, Western Nilotic, Luo-Burun, Southern Lwoo, Adhola-Alur-Luo",ISO 639-3: alz,alur1250,Democratic Republic of the Congo; Uganda,,10396,10396,,,,,,10396,,1,,,,Okoro; Jonam,ALUR,Aj17,10396,Northern Nilotes,37,,39976,wiki,"The Alur people of N W Uganda are known for their musical artistry (drums, harps, horns, singing, dancing), and for their uniquely pleasing art objects and material culture. ",,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottoalur1250 @Ethnoalz @WikiAlur  
-2.27,14.44,-2.07,15.37,Africa,Central Africa,Equatorial Central Africa,"Plateaux Dept, C Congo",Kukuya Teke,Njebe-Mbete-Teke (22),Central Western Bantu,West & Central African Peoples,Tropical Gardeners,1946,"Monsoon, Tropical Savannah","Am, Aw",,,Teke-Kukuya,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Central Western Bantu, Njebe-Mbete-Teke",ISO 639-3: kkw,teke1280,Republic of the Congo,,19014,19014,,,,,,,,1,,,,Kukẅa; Koukouya; Kikukuya,KOUKOUYA,,19014,Southern Equatorial Bantu,14,added for GJB,,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottoteke1280 @Ethnokkw @WikiKukuya  
2.16,13.78,1.89,15.94,Africa,Central Africa,Equatorial Central Africa,S E Cameroon/ S W Central African Rep/ N Congo/ N Gabon,Baka,Mbenga,Mundu-Baka Peoples,West & Central African Peoples,African Gatherers,1967-73; 1990-92,"Tropical Rainforest, Monsoon","Af, Am",,,Baka-Gundi,"Atlantic-Congo, Volta-Congo, Ubangi, Mundu-Baka",,baka1271,Cameroon,,30015,30015,,,,,,,,6,,,,Bebayaka; Bebayaga; Bibaya; Baka Pygmies; Bayaka,BAKA PYGMIES,,30015,Pygmies,15,added for GJB,,wiki,"The Baka people are a tribal group living in the S E rain forests of Cameroon, N Republic of the Congo, N Gabon, and S W Central African Republic. They are hunter-gatherers of the tropical rainforest of C W Africa and practice a semi-nomadic life style.",,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap   @WikiBaka  @Glottobaka1271
1,12,1.89,15.94,Africa,Central Africa,Equatorial Central Africa,S E Cameroon/ S W Central African Rep/ N Congo/ N Gabon,Mbenga,Mbenga,African Hunter-Gatherers,West & Central African Peoples,African Gatherers,,Tropical Savannah,Aw,C-Africa,scfal4,Mikaya-Bambengangale-Baluma,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Central-Western Bantu, Likouala-Sangha",,mika1256,Gabon,,12255,,,12255,,,,12255,,,,,,,BINGA,,,Pygmies,15,added for GJB,57135,wiki,"Nomadic Mbenga people, the Aka live in S W Central African Republic and in N Republic of the Congo. They are generally a hunter-gatherer society.",,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottomika1256  @WikiPygmies  
1.64,16.12,1.89,15.94,Africa,Central Africa,Equatorial Central Africa,S E Cameroon/ S W Central African Rep/ N Congo/ N Gabon,Ngundi,C Tropical Forest Hunter Gatherers/ Bayaka Mbenga,Volta Congo Peoples,West & Central African Peoples,Tropical Gardeners,1946,"Monsoon, Tropical Savannah","Am, Aw",,,Ngundi,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Narrow Bantu ",ISO 639-3: ndn,ngun1270,Republic of the Congo,,16292,16292,,,,,,,,3,,,,Baka-Gundi; Ngondi; Gundi; Ingundi; Ngwili- Mbum- Wimbum,GUNDI; NGUNDI,,16292; 22611,Southern Equatorial Bantu,14,added for GJB,,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap  @WikiOuesso @Glottongun1270
1.68,16.16,3.5,16.66,Africa,Central Africa,Equatorial Central Africa,S W Central African Rep/ N Congo,Mbendjele,C Tropical Forest Hunter Gatherers/ Aka Mbenga,Tano Peoples,West & Central African Peoples,African Gatherers,1946; 1972-77,Tropical Savannah,Aw,,,Akan,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Lebonya",ISO 639-3: aka,akan1250,Republic of the Congo,,11215,11215,,,,,,,,20,,,1,Bayaka; Biaka; Aka; Babinga; Babenzele,BABENZELE; BIAKA,,11215; 30014,Pygmies,15,added for GJB,,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottoakan1250 @Ethnoaka @WikiAka  
-5.12,18.04,-5.13,15.69,Africa,Central Africa,Equatorial Central Africa,S W DR Congo,Mbala,S W Equatorial Bantu,Njila Peoples,West & Central African Peoples,Tropical Gardeners,1935-36,"Tropical Rainforest, Monsoon, Tropical Savannah","Af, Am, Aw",Unclassified Food Producers,scfal1252,Mbala,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Central Western Bantu",ISO 639-3: mdp,mbal1257,Democratic Republic of the Congo,,21077,21077,,,,,,21077,,1,,,,Ambala; Apeenzi; Bala; Bambala; Ba Mbala; Bampem; Bapeenzi; Bapene; Gimbala; Mbalas; Mu Mbala; Rumbala,MBALA,Ac15,21077,Western Central Bantu,6,,21842,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottombal1257 @Ethnomdp  @WikiKwiluProvince 
0.37,16.61,1.41,15.23,Africa,Central Africa,Equatorial Central Africa,"Sangha Dept, N Congo",Bongili,Ngondi-Ngiri,Ngondi-Ngiri Peoples,West & Central African Peoples,Tropical Gardeners,1946,Tropical Savannah,Aw,AH-Sudan,scfal678,Bongili,"Atlantic-Congo, Volta-Congo, Bantoid, Narrow Bantu, Central-Western Bantu, Likouala-Sangha, Mokiba-Ngando",ISO 639-3: bui,bong1284,Republic of Congo,,12480,12480,,,,,,12480,,2,,,,Bongiri; Bokiba; Ngiri,BONGILI; NGIRI,,12480; 22529,Southern Equatorial Bantu,14,added for GJB,63063,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottobong1284 @Ethnobui @WikiBongili  
-3.6,23.1,-3.59,23.65,Africa,Central Africa,Equatorial Central Africa,"Sankuru Prov, C DR Congo",Hamba,C Equatorial Bantu,Vieux Mongo Peoples,West & Central African Peoples,Tropical Gardeners,,"Tropical Rainforest, Monsoon, Tropical Savanna","Af, Am, Aw",,,Hamba de Lomela,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Central Western Bantu",ISO 639-3: hba,hamb1245,Democratic Republic of the Congo,,16490,,,16490,,,,,,,,,,,,,,Southern Equatorial Bantu,14,added for GJB,,,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottohamb1245 @Ethnohba   
0.74,23.91,0.42,24.96,Africa,Central Africa,Equatorial Central Africa,"Tshopo Prov, N C DR Congo",Topoke,C Equatorial Bantu,,West & Central African Peoples,Tropical Gardeners,1959,"Tropical Rainforest, Monsoon  ","Af, Am",AH-Tropical Forest,scfal783,Poke,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Narrow Bantu, Kele, Kele-Poke, So-Poke",ISO 639-3: pof,poke1238,Democratic Republic of the Congo,,27369,27369,,,,,27369,27369,,10,,,,Topoki; Eso; Geso; Poke; Puki; Tofoke,TOPOKE,Ae26,27369,Southern Equatorial Bantu,14,,59754,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottopoke1238 @Ethnopof @WikiTopoke  
12.18,18.69,14.51,18.41,Africa,Central Africa,N Central Africa,C Chad,Dangaleat,Hadjarai Chadic Peoples,Chadic Peoples,West & Central African Peoples,Tropical Gardeners,,Semi Arid Steppe Hot,BSh,,,Dangaleat,"Afro-Asiatic, Chadic, Dangla-Mabire-Birgit, Dangla",ISO 639-3: daa,dang1274,Chad,,14367,,,14367,,,,,,,,,,,DANGALEAT,,14367,Mande,24,added for GJB,,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottodang1274 @Ethnodaa @WikiHadjarai  
3.96,16.59,5.34,23.13,Africa,Central Africa,N Central Africa,Cameroon/ Central African Rep/ DR Congo/ South Sudan,Banda,Banda Ubangi Peoples,Ubangi Peoples,West & Central African Peoples,Tropical Gardeners,1964,Tropical Savannah,Aw,AH-Sudan,scfal596,Banda-Bambari,"Atlantic-Congo, Volta-Congo, Ubangi, Bandaic",ISO 639-3: liy,band1344,Central African Republic; Cameroon; Democratic Republic of the Congo; South Sudan,,11584,11584,,11584,,,,11584,,1,,,,,BANDA,Ai1,11584,Ubangi-Shari,33,,16429,wiki,"Banda of the Central African Republic and neighbouring countries live in hamlets and scattered homesteads under local governance of a headman. They traditonally practice patrilineal descent. A large number of Banda people also live in Democratic Republic of the Congo and Cameroon, with some small numbers possibly in Sudan.",,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap   @WikiBanda  @Glottoband1344
7.65,16.73,8.95,14.71,Africa,Central Africa,N Central Africa,Cameroon/ Chad,Masa,Masa Chadic Peoples,Chadic Peoples,West & Central African Peoples,Tropical Gardeners,c. 1950,Semi Arid Steppe Hot,BSh,AH-Savannah,scfal881,Masana,"Afro-Asiatic, Chadic, Masa, Masa-Gizey-Zumaya",ISO 639-3: mcn,masa1322,Cameroon; Chad,,20945,20945,,20945,,,,20945,,1,,,,Chaddic Nilotes,MASA,Ai9,20945,Lake Chad,31,,53585,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottomasa1322 @Ethnomcn @WikiMasa  
5.95,15.26,3.5,17.19,Africa,Central Africa,N Central Africa,E C Cameroon/ W Central African Rep/ N Congo/ N W DR Congo ,Baya,Gbaya Peoples,,West & Central African Peoples,Tropical Gardeners,1946,Tropical Savannah,Aw,AH-Tropical Forest,scfal719,Gbaya-Manza-Ngbaka,"Atlantic-Congo, Volta-Congo, North Volta-Congo",,gbay1279,Central African Republic; Cameroon; Republic of the Congo,,11892,11892,,,,,,11892,,1,,,,Gbaya,BAYA; GBAYA,Ai7,11892; 15764,Ubangi-Shari,33,,29742,wiki,The Baya of S W Central African Republic traditionally observed patrilineal descent.,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap   @WikiGbaya  @Glottogbay1279
